CardNumber,PlayerName,Type,Rarity
B-1,Andrew Dickson,Base,1 - Common
B-2,Tom McCollum,Base,1 - Common
B-3,Jackson Whistle,Base,1 - Common
B-4,Gabe Bast,Base,1 - Common
B-5,Jeff Baum,Base,1 - Common
B-6,Zak Galambos,Base,1 - Common
B-7,Bo Hanson,Base,1 - Common
B-8,Mike Lee,Base,1 - Common
B-9,Cameron Pound,Base,1 - Common
B-10,Josh Roach,Base,1 - Common
B-11,Elijiah Barriga,Base,1 - Common
B-12,Bobo Carpenter,Base,1 - Common
B-13,Joe Cassetti,Base,1 - Common
B-14,Scott Conway,Base,1 - Common
AB-1,Adam Keefe,Base,1 - Common
AB-2,Jeff Mason,Base,1 - Common
AB-3,George Awada,Base,1 - Common
AB-4,Rob Stewart,Base,1 - Common
AB-5,J.J. Piccinich,Base,1 - Common
AB-6,Kyle Osterberg,Base,1 - Common
AB-7,Pierre-Olivier Morin,Base,1 - Common
AB-8,Grant Mismash,Base,1 - Common
AB-9,Ciaran Long,Base,1 - Common
AB-10,Ben Lake,Base,1 - Common
AB-11,Jordan Kawaguchi,Base,1 - Common
AB-12,Mark Cooper,Base,1 - Common
AB-13,Scott Conway,Base,1 - Common
AB-14,Joe Cassetti,Base,1 - Common
CC-1,Ben Lake,Canvas,2 - Uncommon
CC-2,Pierre-Olivier Morin,Canvas,2 - Uncommon
CC-3,Gabe Bast,Canvas,2 - Uncommon
CC-4,Josh Roach,Canvas,2 - Uncommon
CC-5,Jeff Baum,Canvas,2 - Uncommon
CC-6,Scott Conway,Canvas,2 - Uncommon
PT-1,J.J. Piccinich,Portraits,2 - Uncommon
PT-2,Jackson Whistle,Portraits,2 - Uncommon
PT-3,Jordan Kawaguchi,Portraits,2 - Uncommon
PT-4,Mark Cooper,Portraits,2 - Uncommon
PS-1,Tom McCollum,Poster,2 - Uncommon
PS-2,Ciaran Long,Poster,2 - Uncommon
PS-3,Kyle Osterberg,Poster,2 - Uncommon
PS-4,Grant Mismash,Poster,2 - Uncommon
SH-1,Pierre-Olivier Morin,Sharpshooter,2 - Uncommon
FF-1,Scott Conway,Fan Faves,2 - Uncommon
FF-2,Mark Cooper,Fan Faves,2 - Uncommon
PM-1,Kyle Osterberg,Playmaker,2 - Uncommon
HS-1,Cameron Pound,Hot Shot,2 - Uncommon
SS-1,Tom McCollum,Signature Series,3 - Rare
SS-2,Cameron Pound,Signature Series,3 - Rare
SS-3,Elijiah Barriga,Signature Series,3 - Rare
SS-4,Josh Roach,Signature Series,3 - Rare
SS-5,Scott Conway,Signature Series,3 - Rare
SS-6,Jordan Kawaguchi,Signature Series,3 - Rare
OW-1,Mack Stewart,Ones to Watch,3 - Rare
AS-1,Scott Conway,All Star,3 - Rare
AS-2,Mark Cooper,All Star,3 - Rare
DD-1,Morin Osterberg,Dynamic Duo,4 - Ultra Rare
LD-1,Cooper Baum Lake Long,Leadership,4 - Ultra Rare
SP-1,Elijiah Barriga,Spectrum,4 - Ultra Rare
SP-2,Jordan Kawaguchi,Spectrum,4 - Ultra Rare
