"CardNumber","PlayerName","Type","Rarity"
"B-14","Jake Gaudet","Base","1 - Common"
"B-15","Brandon Whistle","Base","1 - Common"
"B-16","Mike Lee","Base","1 - Common"
"B-17","Reid Irwin","Base","1 - Common"
"B-18","Garrett McFadden","Base","1 - Common"
"B-19","Marcus Eriksson","Base","1 - Common"
"B-20","Patrick Grasso","Base","1 - Common"
"B-21","Nicolas Guay","Base","1 - Common"
"B-22","Karl Boudrais","Base","1 - Common"
"B-23","Adam Keefe","Base","1 - Common"
"B-24","Andrew Dickson","Base","1 - Common"
"B-25","Carsen Twarynski","Base","1 - Common"
"B-26","Jake Kupsky","Base","1 - Common"
"AB-14","Sam Jones","Alt Base","1 - Common"
"AB-15","Bo Hanson","Alt Base","1 - Common"
"AB-16","Ciaran Long","Alt Base","1 - Common"
"AB-17","Josh Roach","Alt Base","1 - Common"
"AB-18","Alexis Gravel","Alt Base","1 - Common"
"AB-19","Jackson Whistle","Alt Base","1 - Common"
"AB-20","Ben Lake","Alt Base","1 - Common"
"AB-21","J.J. Piccinich","Alt Base","1 - Common"
"AB-22","David Goodwin","Alt Base","1 - Common"
"AB-23","Scott Conway","Alt Base","1 - Common"
"AB-24","Carsen Twarynski","Alt Base","1 - Common"
"AB-25","Andrew Dickson","Alt Base","1 - Common"
"AB-26","Jake Kupsky","Alt Base","1 - Common"
"BGC-6","Rob Stewart","Classics","1 - Common"
"PT-4","Scott Conway","Portraits","2 - Uncommon"
"PT-5","J.J. Piccinich","Portraits","2 - Uncommon"
"PT-6","Ryan Smith","Portraits","2 - Uncommon"
"CC-4","Karl Boudrais","Canvas","2 - Uncommon"
"CC-5","Jake Gaudet","Canvas","2 - Uncommon"
"CC-6","Nicolas Guay","Canvas","2 - Uncommon"
"SH-3","Scott Conway","Sharpshooter","2 - Uncommon"
"SH-4","David Goodwin","Sharpshooter","2 - Uncommon"
"PM-3","David Goodwin","Playmaker","2 - Uncommon"
"PM-4","Nicolas Guay","Playmaker","2 - Uncommon"
"BL-3","Karl Boudrais","Blueliner","2 - Uncommon"
"BL-4","Reid Irwin","Blueliner","2 - Uncommon"
"16-5","Ciaran Long","16-Bit","2 - Uncommon"
"16-6","Gabe Bast","16-Bit","2 - Uncommon"
"16-7","Jordan Kawaguchi","16-Bit","2 - Uncommon"
"16-8","Ben Lake","16-Bit","2 - Uncommon"
"FF-4","Mike Lee","Fan Faves","2 - Uncommon"
"FF-5","Jackson Whistle","Fan Faves","2 - Uncommon"
"FF-6","J.J. Piccinich","Fan Faves","2 - Uncommon"
"GD-2","Jake Kupsky","Guardian","2 - Uncommon"
"PS-5","Brandon Whistle","Poster","2 - Uncommon"
"PS-6","Scott Conway","Poster","2 - Uncommon"
"PS-7","David Goodwin","Poster","2 - Uncommon"
"PS-8","Ben Lake","Poster","2 - Uncommon"
"II-1","Brandon Whistle","Incredible Inks","3 - Rare"
"II-2","Carsen Twarynski","Incredible Inks","3 - Rare"
"II-3","J.J. Piccinich","Incredible Inks","3 - Rare"
"II-4","Josh Roach","Incredible Inks","3 - Rare"
"II-5","Gabe Bast","Incredible Inks","3 - Rare"
"II-6","Bo Hanson","Incredible Inks","3 - Rare"
"AS-3","David Goodwin","All Star","3 - Rare"
"AS-4","J.J. Piccinich","All Star","3 - Rare"
"PR-4","Jake Gaudet","Prism","3 - Rare"
"PR-5","Ryan Smith","Prism","3 - Rare"
"PR-6","Ben Lake","Prism","3 - Rare"
"IB-5","Mike Lee","Ice Breaker","3 - Rare"
"IB-6","Gabe Bast","Ice Breaker","3 - Rare"
"IB-7","Jordan Kawaguchi","Ice Breaker","3 - Rare"
"IB-8","David Goodwin","Ice Breaker","3 - Rare"
"EC-4","Ryan Smith","Editors Choice","3 - Rare"
"EC-5","Jordan Kawaguchi","Editors Choice","3 - Rare"
"EC-6","Mike Lee","Editors Choice","3 - Rare"
"EH","Reid Irwin","Exceptional Hits","4 - Ultra Rare"
"EH","Josh Roach","Exceptional Hits","4 - Ultra Rare"
"EA","David Goodwin","Exclusive Autos","4 - Ultra Rare"
"EA","Ben Lake","Exclusive Autos","4 - Ultra Rare"
