"CardNumber","PlayerName","Type","Rarity"
"B-13","Cole Sanford","Base","1 - Common"
"B-14","Cédric Lacroix","Base","1 - Common"
"B-15","Brett Perlini","Base","1 - Common"
"B-16","Connor Caponi","Base","1 - Common"
"B-17","Christian Stoever","Base","1 - Common"
"B-18","Riley Brandt","Base","1 - Common"
"B-19","Nolan Yaremko","Base","1 - Common"
"B-20","Jimmy Oligny","Base","1 - Common"
"B-21","Kristoff Kontos","Base","1 - Common"
"B-22","Bayley Harewood","Base","1 - Common"
"B-23","Paul Thompson","Base","1 - Common"
"B-24","Niklas Hovivuori","Base","1 - Common"
"B-25","Steven MacLean","Base","1 - Common"
"B-26","Brett Ferguson","Base","1 - Common"
"AB-13","Mark Richardson","Alt Base","1 - Common"
"AB-14","Ben Davies","Alt Base","1 - Common"
"AB-15","Ben Bowns","Alt Base","1 - Common"
"AB-16","Sam Duggan","Alt Base","1 - Common"
"AB-17","Evan Mosey","Alt Base","1 - Common"
"AB-18","Ryan Barrow","Alt Base","1 - Common"
"AB-19","Gleason Fournier","Alt Base","1 - Common"
"AB-20","Brandon Estes","Alt Base","1 - Common"
"AB-21","Tyson Helgesen","Alt Base","1 - Common"
"AB-22","Kohen Olischefski","Alt Base","1 - Common"
"AB-23","Josh MacDonald","Alt Base","1 - Common"
"AB-24","Joey Martin","Alt Base","1 - Common"
"AB-25","Brett Ferguson","Alt Base","1 - Common"
"AB-26","Steven MacLean","Alt Base","1 - Common"
"MS-1","Sam Duggan","Milestone","1 - Common"
"MS-2","Joey Martin","Milestone","1 - Common"
"HT-5","Sam Duggan","Hometown","2 - Uncommon"
"HT-6","Ben Bowns","Hometown","2 - Uncommon"
"HT-7","Mark Richardson","Hometown","2 - Uncommon"
"PT-4","Brett Ferguson","Portraits","2 - Uncommon"
"PT-5","Jimmy Oligny","Portraits","2 - Uncommon"
"PT-6","Ben Bowns","Portraits","2 - Uncommon"
"CC-4","Brett Perlini","Canvas","2 - Uncommon"
"CC-5","Mark Richardson","Canvas","2 - Uncommon"
"CC-6","Riley Brandt","Canvas","2 - Uncommon"
"CC-7","Evan Mosey","Canvas","2 - Uncommon"
"CC-8","Brandon Estes","Canvas","2 - Uncommon"
"SH-3","Josh MacDonald","Sharpshooter","2 - Uncommon"
"PM-2","Evan Mosey","Playmaker","2 - Uncommon"
"PM-3","Brett Perlini","Playmaker","2 - Uncommon"
"BL-3","Brandon Estes","Blueliner","2 - Uncommon"
"BL-4","Jimmy Oligny","Blueliner","2 - Uncommon"
"16-4","Kristoff Kontos","16-Bit","2 - Uncommon"
"16-5","Ben Davies","16-Bit","2 - Uncommon"
"16-6","Connor Caponi","16-Bit","2 - Uncommon"
"FF-3","Cédric Lacroix","Fan Faves","2 - Uncommon"
"PS-5","Ben Davies","Poster","2 - Uncommon"
"PS-6","Mark Richardson","Poster","2 - Uncommon"
"PS-7","Christian Stoever","Poster","2 - Uncommon"
"PS-8","Sam Duggan","Poster","2 - Uncommon"
"II-1","Jimmy Oligny","Incredible Inks","3 - Rare"
"II-2","Gleason Fournier","Incredible Inks","3 - Rare"
"II-3","Ben Davies","Incredible Inks","3 - Rare"
"II-4","Brett Perlini","Incredible Inks","3 - Rare"
"II-5","Josh MacDonald","Incredible Inks","3 - Rare"
"II-6","Tyson Helgesen","Incredible Inks","3 - Rare"
"AS-3","Joey Martin","All Star","3 - Rare"
"AS-4","Josh MacDonald","All Star","3 - Rare"
"PR-4","Brandon Estes","Prism","3 - Rare"
"PR-5","Brett Ferguson","Prism","3 - Rare"
"PR-6","Tyson Helgesen","Prism","3 - Rare"
"IB-5","Joey Martin","Ice Breaker","3 - Rare"
"IB-6","Brett Perlini","Ice Breaker","3 - Rare"
"IB-7","Kohen Olischefski","Ice Breaker","3 - Rare"
"IB-8","Evan Mosey","Ice Breaker","3 - Rare"
"EC-3","Ben Bowns","Editors Choice","3 - Rare"
"EC-4","Brett Ferguson","Editors Choice","3 - Rare"
"EH","Steven MacLean","Exceptional Hits","4 - Ultra Rare"
"EH","Sam Duggan","Exceptional Hits","4 - Ultra Rare"
"EH","Christian Stoever","Exceptional Hits","4 - Ultra Rare"
"EA","Ben Bowns","Exclusive Autos","4 - Ultra Rare"
"EA","Brandon Estes","Exclusive Autos","4 - Ultra Rare"
"EA","Ryan Barrow","Exclusive Autos","4 - Ultra Rare"
