"CardNumber","PlayerName","Type","Rarity"
"B-13","Connor Russell","Base","1 - Common"
"B-14","Elijiah Barriga","Base","1 - Common"
"B-15","Artie Buzoverya","Base","1 - Common"
"B-16","Mike Pelech","Base","1 - Common"
"B-17","Colton Saucerman","Base","1 - Common"
"B-18","Dershahn Stewart","Base","1 - Common"
"B-19","Sam Ruffin","Base","1 - Common"
"B-20","Joel Bearman","Base","1 - Common"
"B-21","William Boysen","Base","1 - Common"
"B-22","Jere Vertanen","Base","1 - Common"
"B-23","Coltyn Bates","Base","1 - Common"
"B-24","Kevin Moore","Base","1 - Common"
"B-25","Adam Robbins","Base","1 - Common"
"B-26","Jordan Power","Base","1 - Common"
"AB-13","Zaine McKenzie","Alt Base","1 - Common"
"AB-14","Grant Mismash","Alt Base","1 - Common"
"AB-15","Ivan Chukarov","Alt Base","1 - Common"
"AB-16","Mack Stewart","Alt Base","1 - Common"
"AB-17","Alessio Luciani","Alt Base","1 - Common"
"AB-18","Matthew Gleason","Alt Base","1 - Common"
"AB-19","Archie Hazeldine","Alt Base","1 - Common"
"AB-20","Jack Hopkins","Alt Base","1 - Common"
"AB-21","Mat Robson","Alt Base","1 - Common"
"AB-22","Kim Tallberg","Alt Base","1 - Common"
"AB-23","David Clements","Alt Base","1 - Common"
"AB-24","Grayson Constable","Alt Base","1 - Common"
"AB-25","Jordan Power","Alt Base","1 - Common"
"AB-26","Adam Robbins","Alt Base","1 - Common"
"LG-1","Logo","Logo","1 - Common"
"CBC-5","Russell Cowley","Classics","1 - Common"
"HT-5","Alessio Luciani","Hometown","2 - Uncommon"
"HT-6","Jack Hopkins","Hometown","2 - Uncommon"
"HT-7","Mike Pelech","Hometown","2 - Uncommon"
"PT-4","Mat Robson","Portraits","2 - Uncommon"
"PT-5","Kim Tallberg","Portraits","2 - Uncommon"
"PT-6","David Clements","Portraits","2 - Uncommon"
"CC-4","William Boysen","Canvas","2 - Uncommon"
"CC-5","Elijiah Barriga","Canvas","2 - Uncommon"
"CC-6","Archie Hazeldine","Canvas","2 - Uncommon"
"SH-2","Jere Vertanen","Sharpshooter","2 - Uncommon"
"PM-2","Grant Mismash","Playmaker","2 - Uncommon"
"BL-3","Kim Tallberg","Blueliner","2 - Uncommon"
"BL-4","Connor Russell","Blueliner","2 - Uncommon"
"GD-2","Dershahn Stewart","Guardian","2 - Uncommon"
"16-5","Sam Ruffin","16-Bit","2 - Uncommon"
"16-6","Artie Buzoverya","16-Bit","2 - Uncommon"
"16-7","Mike Pelech","16-Bit","2 - Uncommon"
"16-8","Jordan Power","16-Bit","2 - Uncommon"
"FF-3","Mat Robson","Fan Faves","2 - Uncommon"
"FF-4","Alessio Luciani","Fan Faves","2 - Uncommon"
"PS-5","Matthew Gleason","Poster","2 - Uncommon"
"PS-6","Grant Mismash","Poster","2 - Uncommon"
"PS-7","Kim Tallberg","Poster","2 - Uncommon"
"PS-8","Archie Hazeldine","Poster","2 - Uncommon"
"II-1","Grant Mismash","Incredible Inks","3 - Rare"
"II-2","Alessio Luciani","Incredible Inks","3 - Rare"
"II-3","Mat Robson","Incredible Inks","3 - Rare"
"II-4","Ivan Chukarov","Incredible Inks","3 - Rare"
"II-5","Artie Buzoverya","Incredible Inks","3 - Rare"
"II-6","Adam Robbins","Incredible Inks","3 - Rare"
"AS-4","Mike Pelech","All Star","3 - Rare"
"AS-5","Mat Robson","All Star","3 - Rare"
"PR-4","Sam Ruffin","Prism","3 - Rare"
"PR-5","Jack Hopkins","Prism","3 - Rare"
"PR-6","Mike Pelech","Prism","3 - Rare"
"IB-5","Matthew Gleason","Ice Breaker","3 - Rare"
"IB-6","Jere Vertanen","Ice Breaker","3 - Rare"
"IB-7","Adam Robbins","Ice Breaker","3 - Rare"
"IB-8","William Boysen","Ice Breaker","3 - Rare"
"EC-3","William Boysen","Editors Choice","3 - Rare"
"EC-4","Matthew Gleason","Editors Choice","3 - Rare"
"EH","Jordan Power","Exceptional Hits","4 - Ultra Rare"
"EH","Connor Russell","Exceptional Hits","4 - Ultra Rare"
"EH","Adam Robbins","Exceptional Hits","4 - Ultra Rare"
"EA","Matthew Gleason","Exclusive Autos","4 - Ultra Rare"
"EA","William Boysen","Exclusive Autos","4 - Ultra Rare"
"EA","Kim Tallberg","Exclusive Autos","4 - Ultra Rare"
