"CardNumber","PlayerName","Type","Rarity"
"B-13","Spencer Naas","Base","1 - Common"
"B-14","Justin Bean","Base","1 - Common"
"B-15","Ben Almquist","Base","1 - Common"
"B-16","Brad Schoonbaert","Base","1 - Common"
"B-17","Matt Boudens","Base","1 - Common"
"B-18","Kameron Kielly","Base","1 - Common"
"B-19","Emil Kruse","Base","1 - Common"
"B-20","Hampus Olsson","Base","1 - Common"
"B-21","Jaydn Baxter","Base","1 - Common"
"B-22","Otto Nieminen","Base","1 - Common"
"B-23","Marc LeFebvre","Base","1 - Common"
"B-24","Zach Taylor","Base","1 - Common"
"B-25","Quinn Ryan","Base","1 - Common"
"B-26","Rio Page","Base","1 - Common"
"B-27","Johnny Curran","Base","1 - Common"
"AB-13","Morten Jürgens","Alt Base","1 - Common"
"AB-14","Griffin Luce","Alt Base","1 - Common"
"AB-15","Kris Inglis","Alt Base","1 - Common"
"AB-16","Dominick Jaglar","Alt Base","1 - Common"
"AB-17","Keanu Yamamoto","Alt Base","1 - Common"
"AB-18","Craig Garrigan","Alt Base","1 - Common"
"AB-19","Jackson Desouza","Alt Base","1 - Common"
"AB-20","Craig Moore","Alt Base","1 - Common"
"AB-21","Jonathan McBean","Alt Base","1 - Common"
"AB-22","Jarrett Fiske","Alt Base","1 - Common"
"AB-23","Drydn Dow","Alt Base","1 - Common"
"AB-24","Zach Taylor","Alt Base","1 - Common"
"AB-25","Quinn Ryan","Alt Base","1 - Common"
"AB-26","Rio Page","Alt Base","1 - Common"
"AB-27","Johnny Curran","Alt Base","1 - Common"
"HT-5","Jonathan McBean","Hometown","2 - Uncommon"
"HT-6","Craig Garrigan","Hometown","2 - Uncommon"
"HT-7","Johnny Curran","Hometown","2 - Uncommon"
"PT-4","Jackson Desouza","Portraits","2 - Uncommon"
"PT-5","Ben Almquist","Portraits","2 - Uncommon"
"PT-6","Spencer Naas","Portraits","2 - Uncommon"
"CC-4","Zach Taylor","Canvas","2 - Uncommon"
"CC-5","Matt Boudens","Canvas","2 - Uncommon"
"CC-6","Brad Schoonbaert","Canvas","2 - Uncommon"
"SH-2","Spencer Naas","Sharpshooter","2 - Uncommon"
"PM-2","Drydn Dow","Playmaker","2 - Uncommon"
"BL-3","Craig Moore","Blueliner","2 - Uncommon"
"BL-4","Jackson Desouza","Blueliner","2 - Uncommon"
"GD-2","Emil Kruse","Guardian","2 - Uncommon"
"16-5","Justin Bean","16-Bit","2 - Uncommon"
"16-6","Ben Almquist","16-Bit","2 - Uncommon"
"16-7","Griffin Luce","16-Bit","2 - Uncommon"
"16-8","Jarrett Fiske","16-Bit","2 - Uncommon"
"FF-3","Keanu Yamamoto","Fan Faves","2 - Uncommon"
"FF-4","Kameron Kielly","Fan Faves","2 - Uncommon"
"PS-5","Spencer Naas","Poster","2 - Uncommon"
"PS-6","Zach Taylor","Poster","2 - Uncommon"
"PS-7","Drydn Dow","Poster","2 - Uncommon"
"PS-8","Craig Garrigan","Poster","2 - Uncommon"
"II-1","Craig Moore","Incredible Inks","3 - Rare"
"II-2","Ben Almquist","Incredible Inks","3 - Rare"
"II-3","Craig Garrigan","Incredible Inks","3 - Rare"
"II-4","Keanu Yamamoto","Incredible Inks","3 - Rare"
"II-5","Kameron Kielly","Incredible Inks","3 - Rare"
"II-6","Quinn Ryan","Incredible Inks","3 - Rare"
"AS-4","Spencer Naas","All Star","3 - Rare"
"AS-5","Drydn Dow","All Star","3 - Rare"
"PR-4","Johnny Curran","Prism","3 - Rare"
"PR-5","Craig Moore","Prism","3 - Rare"
"PR-6","Zach Taylor","Prism","3 - Rare"
"IB-5","Keanu Yamamoto","Ice Breaker","3 - Rare"
"IB-6","Otto Nieminen","Ice Breaker","3 - Rare"
"IB-7","Kameron Kielly","Ice Breaker","3 - Rare"
"IB-8","Spencer Naas","Ice Breaker","3 - Rare"
"EC-3","Johnny Curran","Editors Choice","3 - Rare"
"EC-4","Otto Nieminen","Editors Choice","3 - Rare"
"EH","Justin Bean","Exceptional Hits","4 - Ultra Rare"
"EH","Ben Almquist","Exceptional Hits","4 - Ultra Rare"
"EH","Brad Schoonbaert","Exceptional Hits","4 - Ultra Rare"
"EA","Zach Taylor","Exclusive Autos","4 - Ultra Rare"
"EA","Griffin Luce","Exclusive Autos","4 - Ultra Rare"
"EA","Kris Inglis","Exclusive Autos","4 - Ultra Rare"
