"CardNumber","PlayerName","Type","Rarity"
"B-1","Mason Alderson","Base","1 - Common"
"B-2","Shane Owen","Base","1 - Common"
"B-3","Ben Brown","Base","1 - Common"
"B-4","Jonas Emmerdahl","Base","1 - Common"
"B-5","Ryan Nicholson","Base","1 - Common"
"B-6","Ethan Hadden","Base","1 - Common"
"B-7","Keaton Jameson","Base","1 - Common"
"B-8","Garet Hunt","Base","1 - Common"
"B-9","Christian Purboo","Base","1 - Common"
"B-10","Vlastimil Dostálek","Base","1 - Common"
"B-11","Andrew McLean","Base","1 - Common"
"B-12","Ethan Somoza","Base","1 - Common"
"AB-1","Giordano Finoro","Alt Base","1 - Common"
"AB-2","Jamie Russell","Alt Base","1 - Common"
"AB-3","Michael Courts","Alt Base","1 - Common"
"AB-4","Rowan Mills","Alt Base","1 - Common"
"AB-5","Johan Porsberger","Alt Base","1 - Common"
"AB-6","Jeremy Masella","Alt Base","1 - Common"
"AB-7","Ian Scheid","Alt Base","1 - Common"
"AB-8","Justin Ducharme","Alt Base","1 - Common"
"AB-9","Josh Winquist","Alt Base","1 - Common"
"AB-10","Ethan Somoza","Alt Base","1 - Common"
"AB-11","Andrew McLean","Alt Base","1 - Common"
"AB-12","Vlastimil Dostálek","Alt Base","1 - Common"
"MC-1","Geordie","Mascot","1 - Common"
"FFC-1","Karry Biette","Classics","1 - Common"
"FFC-2","Frank Morris","Classics","1 - Common"
"FFC-3","Ricky Grubb","Classics","1 - Common"
"FFC-4","Todd Dutiaume","Classics","1 - Common"
"HT-1","Jonas Emmerdahl","Hometown","2 - Uncommon"
"HT-2","Mason Alderson","Hometown","2 - Uncommon"
"HT-3","Ben Brown","Hometown","2 - Uncommon"
"HT-4","Jeremy Masella","Hometown","2 - Uncommon"
"PT-1","Giordano Finoro","Portraits","2 - Uncommon"
"PT-2","Ethan Somoza","Portraits","2 - Uncommon"
"PT-3","Ethan Hadden","Portraits","2 - Uncommon"
"CC-1","Christian Purboo","Canvas","2 - Uncommon"
"CC-2","Ryan Nicholson","Canvas","2 - Uncommon"
"CC-3","Justin Ducharme","Canvas","2 - Uncommon"
"SH-1","Keaton Jameson","Sharpshooter","2 - Uncommon"
"PM-1","Josh Winquist","Playmaker","2 - Uncommon"
"BL-1","Ryan Nicholson","Blueliner","2 - Uncommon"
"BL-2","Ian Scheid","Blueliner","2 - Uncommon"
"GD-1","Shane Owen","Guardian","2 - Uncommon"
"16-1","Keaton Jameson","16-Bit","2 - Uncommon"
"16-2","Jonas Emmerdahl","16-Bit","2 - Uncommon"
"16-3","Mason Alderson","16-Bit","2 - Uncommon"
"16-4","Ian Scheid","16-Bit","2 - Uncommon"
"FF-1","Garet Hunt","Fan Faves","2 - Uncommon"
"FF-2","Josh Winquist","Fan Faves","2 - Uncommon"
"PS-1","Josh Winquist","Poster","2 - Uncommon"
"PS-2","Johan Porsberger","Poster","2 - Uncommon"
"PS-3","Andrew McLean","Poster","2 - Uncommon"
"PS-4","Ian Scheid","Poster","2 - Uncommon"
"SS-1","Keaton Jameson","Signature Series","3 - Rare"
"SS-2","Vlastimil Dostálek","Signature Series","3 - Rare"
"SS-3","Keegan Cairns","Signature Series","3 - Rare"
"SS-4","Andrew McLean","Signature Series","3 - Rare"
"SS-5","Ben Brown","Signature Series","3 - Rare"
"OW-1","Ethan Hadden","Ones to Watch","3 - Rare"
"OW-2","Mason Alderson","Ones to Watch","3 - Rare"
"AS-1","Josh Winquist","All Star","3 - Rare"
"AS-2","Ethan Somoza","All Star","3 - Rare"
"AS-3","Shane Owen","All Star","3 - Rare"
"PR-1","Ryan Nicholson","Prism","3 - Rare"
"PR-2","Jeremy Masella","Prism","3 - Rare"
"PR-3","Ian Scheid","Prism","3 - Rare"
"IB-1","Giordano Finoro","Ice Breaker","3 - Rare"
"IB-2","Keaton Jameson","Ice Breaker","3 - Rare"
"IB-3","Garet Hunt","Ice Breaker","3 - Rare"
"IB-4","Johan Porsberger","Ice Breaker","3 - Rare"
"EC-1","Mason Alderson","Editors Choice","3 - Rare"
"EC-2","Ethan Somoza","Editors Choice","3 - Rare"
"EH-1","Garet Hunt","Exceptional Hits","4 - Ultra Rare"
"EH-2","Ryan Nicholson","Exceptional Hits","4 - Ultra Rare"
"EH-3","Josh Winquist","Exceptional Hits","4 - Ultra Rare"
"EA-1","Christian Purboo","Exclusive Autos","4 - Ultra Rare"
"EA-2","Justin Ducharme","Exclusive Autos","4 - Ultra Rare"
"DD-1","Owen Emmerdahl","Dynamic Duos","4 - Ultra Rare"
"LD-1","Leadership","Leadership","4 - Ultra Rare"
