"CardNumber","PlayerName","Type","Rarity"
"B-1","Deven Sideroff","Base","1 - Common"
"B-2","Rylan Schwartz","Base","1 - Common"
"B-3","Steven Seigo","Base","1 - Common"
"B-4","Chris McKay","Base","1 - Common"
"B-5","Brayden Burke","Base","1 - Common"
"B-6","Austin Mitchell-King","Base","1 - Common"
"B-7","Hugo Roy","Base","1 - Common"
"B-8","Cade Neilson","Base","1 - Common"
"B-9","Joseph Hazeldine","Base","1 - Common"
"B-10","Lucas Brine","Base","1 - Common"
"B-11","Alex Forbes","Base","1 - Common"
"B-12","Sami Aittokallio","Base","1 - Common"
"AB-1","Corey Neilson","Alt Base","1 - Common"
"AB-2","Mike Sirant","Alt Base","1 - Common"
"AB-3","Darien Kielb","Alt Base","1 - Common"
"AB-4","Colton Poolman","Alt Base","1 - Common"
"AB-5","Jason Fram","Alt Base","1 - Common"
"AB-6","Tristin Langan","Alt Base","1 - Common"
"AB-7","Miihkali Teppo","Alt Base","1 - Common"
"AB-8","Richard Jarusek","Alt Base","1 - Common"
"AB-9","Brett Neumann","Alt Base","1 - Common"
"AB-10","Félix Paré","Alt Base","1 - Common"
"AB-11","Robert Lachowicz","Alt Base","1 - Common"
"AB-12","Sami Aittokallio","Alt Base","1 - Common"
"MC-1","Clangus","Mascot","1 - Common"
"GCC-1","Bruce Richardson","Classics","1 - Common"
"GCC-2","Matt Haywood","Classics","1 - Common"
"GCC-3","Kyle Bruce","Classics","1 - Common"
"GCC-4","Adam Walker","Classics","1 - Common"
"HT-1","Joseph Hazeldine","Hometown","2 - Uncommon"
"HT-2","Chris McKay","Hometown","2 - Uncommon"
"HT-3","Miihkali Teppo","Hometown","2 - Uncommon"
"HT-4","Brett Neumann","Hometown","2 - Uncommon"
"PT-1","Chris McKay","Portraits","2 - Uncommon"
"PT-2","Hugo Roy","Portraits","2 - Uncommon"
"PT-3","Tristin Langan","Portraits","2 - Uncommon"
"CC-1","Joseph Hazeldine","Canvas","2 - Uncommon"
"CC-2","Brett Neumann","Canvas","2 - Uncommon"
"CC-3","Lucas Brine","Canvas","2 - Uncommon"
"SH-1","Brett Neumann","Sharpshooter","2 - Uncommon"
"PM-1","Brayden Burke","Playmaker","2 - Uncommon"
"BL-1","Joseph Hazeldine","Blueliner","2 - Uncommon"
"BL-2","Darien Kielb","Blueliner","2 - Uncommon"
"GD-1","Sami Aittokallio","Guardian","2 - Uncommon"
"16-1","Richard Jarusek","16-Bit","2 - Uncommon"
"16-2","Alex Forbes","16-Bit","2 - Uncommon"
"16-3","Cade Neilson","16-Bit","2 - Uncommon"
"16-4","Colton Poolman","16-Bit","2 - Uncommon"
"FF-1","Tristin Langan","Fan Faves","2 - Uncommon"
"FF-2","Rylan Schwartz","Fan Faves","2 - Uncommon"
"PS-1","Colton Poolman","Poster","2 - Uncommon"
"PS-2","Joseph Hazeldine","Poster","2 - Uncommon"
"PS-3","Deven Sideroff","Poster","2 - Uncommon"
"PS-4","Cade Neilson","Poster","2 - Uncommon"
"SS-1","Sami Aittokallio","Signature Series","3 - Rare"
"SS-2","Jason Fram","Signature Series","3 - Rare"
"SS-3","Miihkali Teppo","Signature Series","3 - Rare"
"SS-4","Hugo Roy","Signature Series","3 - Rare"
"SS-5","Tristin Langan","Signature Series","3 - Rare"
"SS-6","Félix Paré","Signature Series","3 - Rare"
"OW-1","Austin Mitchell-King","Ones to Watch","3 - Rare"
"AS-1","Tristin Langan","All Star","3 - Rare"
"AS-2","Rylan Schwartz","All Star","3 - Rare"
"AS-3","Steven Seigo","All Star","3 - Rare"
"PR-1","Chris McKay","Prism","3 - Rare"
"PR-2","Félix Paré","Prism","3 - Rare"
"PR-3","Darien Kielb","Prism","3 - Rare"
"IB-1","Hugo Roy","Ice Breaker","3 - Rare"
"IB-2","Robert Lachowicz","Ice Breaker","3 - Rare"
"IB-3","Deven Sideroff","Ice Breaker","3 - Rare"
"IB-4","Alex Forbes","Ice Breaker","3 - Rare"
"EC-1","Cade Neilson","Editors Choice","3 - Rare"
"EC-2","Tristin Langan","Editors Choice","3 - Rare"
"EH-1","Brayden Burke","Exceptional Hits","4 - Ultra Rare"
"EH-2","Lucas Brine","Exceptional Hits","4 - Ultra Rare"
"EH-3","Cade Neilson","Exceptional Hits","4 - Ultra Rare"
"EA-1","Robert Lachowicz","Exclusive Autos","4 - Ultra Rare"
"EA-2","Steven Seigo","Exclusive Autos","4 - Ultra Rare"
"EA-3","Lucas Brine","Exclusive Autos","4 - Ultra Rare"
"DD-1","Neuman Langan","Dynamic Duos","4 - Ultra Rare"
"LD-1","Leadership","Leadership","4 - Ultra Rare"
