"CardNumber","PlayerName","Type","Rarity"
"B-13","Robert Lachowicz","Base","1 - Common"
"B-14","Félix Paré","Base","1 - Common"
"B-15","Brett Neumann","Base","1 - Common"
"B-16","Richard Jarusek","Base","1 - Common"
"B-17","Miihkali Teppo","Base","1 - Common"
"B-18","Tristin Langan","Base","1 - Common"
"B-19","Jason Fram","Base","1 - Common"
"B-20","Colton Poolman","Base","1 - Common"
"B-21","Darien Kielb","Base","1 - Common"
"B-22","Mike Sirant","Base","1 - Common"
"B-23","Corey Nielson","Base","1 - Common"
"B-24","Brady Risk","Base","1 - Common"
"B-25","Daniel Tedesco","Base","1 - Common"
"B-26","Liam Soulière","Base","1 - Common"
"B-27","Mick Messner","Base","1 - Common"
"AB-13","Alex Forbes","Alt Base","1 - Common"
"AB-14","Lucas Brine","Alt Base","1 - Common"
"AB-15","Joseph Hazeldine","Alt Base","1 - Common"
"AB-16","Cade Neilson","Alt Base","1 - Common"
"AB-17","Hugo Roy","Alt Base","1 - Common"
"AB-18","Austin Mitchell-King","Alt Base","1 - Common"
"AB-19","Brayden Burke","Alt Base","1 - Common"
"AB-20","Chris McKay","Alt Base","1 - Common"
"AB-21","Steven Seigo","Alt Base","1 - Common"
"AB-22","Rylan Schwartz","Alt Base","1 - Common"
"AB-23","Deven Sideroff","Alt Base","1 - Common"
"AB-24","Brady Risk","Alt Base","1 - Common"
"AB-25","Daniel Tedesco","Alt Base","1 - Common"
"AB-26","Liam Soulière","Alt Base","1 - Common"
"AB-27","Mick Messner","Alt Base","1 - Common"
"HT-5","Sami Aittokallio","Hometown","2 - Uncommon"
"HT-6","Robert Lachowicz","Hometown","2 - Uncommon"
"HT-7","Brayden Burke","Hometown","2 - Uncommon"
"PT-4","Miihkali Teppo","Portraits","2 - Uncommon"
"PT-5","Jason Fram","Portraits","2 - Uncommon"
"PT-6","Daniel Tedesco","Portraits","2 - Uncommon"
"PT-7","Liam Soulière","Portraits","2 - Uncommon"
"CC-4","Sami Aittokallio","Canvas","2 - Uncommon"
"CC-5","Rylan Schwartz","Canvas","2 - Uncommon"
"CC-6","Mick Messner","Canvas","2 - Uncommon"
"CC-7","Steven Seigo","Canvas","2 - Uncommon"
"SH-2","Tristin Langan","Sharpshooter","2 - Uncommon"
"PM-2","Rylan Schwartz","Playmaker","2 - Uncommon"
"BL-3","Steven Seigo","Blueliner","2 - Uncommon"
"BL-4","Jason Fram","Blueliner","2 - Uncommon"
"GD-2","Liam Soulière","Guardian","2 - Uncommon"
"16-5","Félix Paré","16-Bit","2 - Uncommon"
"16-6","Brayden Burke","16-Bit","2 - Uncommon"
"16-7","Rylan Schwartz","16-Bit","2 - Uncommon"
"16-8","Hugo Roy","16-Bit","2 - Uncommon"
"FF-3","Joseph Hazeldine","Fan Faves","2 - Uncommon"
"FF-4","Brett Neumann","Fan Faves","2 - Uncommon"
"PS-5","Hugo Roy","Poster","2 - Uncommon"
"PS-6","Steven Seigo","Poster","2 - Uncommon"
"PS-7","Alex Forbes","Poster","2 - Uncommon"
"PS-8","Lucas Brine","Poster","2 - Uncommon"
"II-1","Darien Kielb","Incredible Inks","3 - Uncommon"
"II-2","Liam Soulière","Incredible Inks","3 - Uncommon"
"II-3","Tristin Langan","Incredible Inks","3 - Uncommon"
"II-4","Daniel Tedesco","Incredible Inks","3 - Uncommon"
"II-5","Rylan Schwartz","Incredible Inks","3 - Uncommon"
"II-6","Brady Risk","Incredible Inks","3 - Uncommon"
"AS-4","Brett Neumann","All Star","3 - Uncommon"
"AS-5","Robert Lachowicz","All Star","3 - Uncommon"
"AS-6","Daniel Tedesco","All Star","3 - Uncommon"
"PR-4","Cade Neilson","Prism","3 - Uncommon"
"PR-5","Joseph Hazeldine","Prism","3 - Uncommon"
"PR-6","Colton Poolman","Prism","3 - Uncommon"
"IB-5","Daniel Tedesco","Ice Breaker","3 - Uncommon"
"IB-6","Steven Seigo","Ice Breaker","3 - Uncommon"
"IB-7","Tristin Langan","Ice Breaker","3 - Uncommon"
"IB-8","Brett Neumann","Ice Breaker","3 - Uncommon"
"EC-3","Brett Neumann","Editors Choice","3 - Uncommon"
"EC-4","Brady Risk","Editors Choice","3 - Uncommon"
"EH","Brady Risk","Exceptional Hits","4 - Uncommon"
"EH","Jason Fram","Exceptional Hits","4 - Uncommon"
"EH","Liam Soulière","Exceptional Hits","4 - Uncommon"
"EA","Joseph Hazeldine","Exclusive Autos","4 - Uncommon"
"EA","Brayden Burke","Exclusive Autos","4 - Uncommon"
"EA","Cade Neilson","Exclusive Autos","4 - Uncommon"
