"CardNumber","PlayerName","Type","Rarity"
"B-1","Joshua Waller","Base","1 - Common"
"B-2","Lewis Hook","Base","1 - Common"
"B-3","Jamal Watson","Base","1 - Common"
"B-4","Jack Jacome","Base","1 - Common"
"B-5","Jake Gravelle","Base","1 - Common"
"B-6","Cole Ully","Base","1 - Common"
"B-7","Matt Alvaro","Base","1 - Common"
"B-8","Tyler Busch","Base","1 - Common"
"B-9","Travis Brown","Base","1 - Common"
"B-10","Adam Long","Base","1 - Common"
"B-11","Ethan Strang","Base","1 - Common"
"B-12","Josh Nixon","Base","1 - Common"
"AB-1","Paul Dixon","Alt Base","1 - Common"
"AB-2","Andrew Hemmings","Alt Base","1 - Common"
"AB-3","Justin Fazio","Alt Base","1 - Common"
"AB-4","Marcus Tesink","Alt Base","1 - Common"
"AB-5","Taz Burman","Alt Base","1 - Common"
"AB-6","Tyler Preziuso","Alt Base","1 - Common"
"AB-7","Ben Solder","Alt Base","1 - Common"
"AB-8","Sam Talbot","Alt Base","1 - Common"
"AB-9","Sean Comrie","Alt Base","1 - Common"
"AB-10","Mathieu Gosselin","Alt Base","1 - Common"
"AB-11","Charlie Curti","Alt Base","1 - Common"
"AB-12","Jake Coughler","Alt Base","1 - Common"
"LG-1","Logo","Logo","1 - Common"
"GFC-1","Mario Belanger","Classics","1 - Common"
"GFC-2","Todd Wetzel","Classics","1 - Common"
"GFC-3","Terry Kurtenbach","Classics","1 - Common"
"GFC-4","Wayne Crawford","Classics","1 - Common"
"HT-1","Matt Alvaro","Hometown","2 - Uncommon"
"HT-2","Sam Talbot","Hometown","2 - Uncommon"
"HT-3","Travis Brown","Hometown","2 - Uncommon"
"HT-4","Cole Ully","Hometown","2 - Uncommon"
"PT-1","Sean Comrie","Portraits","2 - Uncommon"
"PT-2","Matt Alvaro","Portraits","2 - Uncommon"
"PT-3","Charlie Curti","Portraits","2 - Uncommon"
"CC-1","Sam Talbot","Canvas","2 - Uncommon"
"CC-2","Mathieu Gosselin","Canvas","2 - Uncommon"
"CC-3","Joshua Waller","Canvas","2 - Uncommon"
"SH-1","Mathieu Gosselin","Sharpshooter","2 - Uncommon"
"PM-1","Joshua Waller","Playmaker","2 - Uncommon"
"BL-1","Jamal Watson","Blueliner","2 - Uncommon"
"BL-2","Charlie Curti","Blueliner","2 - Uncommon"
"GD-1","Jake Kupsky","Guardian","2 - Uncommon"
"16-1","Jake Coughler","16-Bit","2 - Uncommon"
"16-2","Travis Brown","16-Bit","2 - Uncommon"
"16-3","Tyler Busch","16-Bit","2 - Uncommon"
"16-4","Joshua Waller","16-Bit","2 - Uncommon"
"FF-1","Jack Jacome","Fan Faves","2 - Uncommon"
"FF-2","Ethan Strang","Fan Faves","2 - Uncommon"
"PS-1","Taz Burman","Poster","2 - Uncommon"
"PS-2","Matt Alvaro","Poster","2 - Uncommon"
"PS-3","Josh Nixon","Poster","2 - Uncommon"
"PS-4","Lewis Hook","Poster","2 - Uncommon"
"SS-1","Taz Burman","Signature Series","3 - Rare"
"SS-2","Ben Solder","Signature Series","3 - Rare"
"SS-3","Tyler Preziuso","Signature Series","3 - Rare"
"SS-4","Josh Nixon","Signature Series","3 - Rare"
"SS-5","Justin Fazio","Signature Series","3 - Rare"
"SS-6","Jamal Watson","Signature Series","3 - Rare"
"OW-1","Jake Gravelle","Ones to Watch","3 - Rare"
"OW-2","Mathieu Gosselin","Ones to Watch","3 - Rare"
"OW-3","Tyler Preziuso","Ones to Watch","3 - Rare"
"AS-1","Cole Ully","All Star","3 - Rare"
"AS-2","Jake Coughler","All Star","3 - Rare"
"AS-3","Jack Jacome","All Star","3 - Rare"
"PR-1","Ethan Strang","Prism","3 - Rare"
"PR-2","Jake Gravelle","Prism","3 - Rare"
"PR-3","Ben Solder","Prism","3 - Rare"
"IB-1","Jake Coughler","Ice Breaker","3 - Rare"
"IB-2","Cole Ully","Ice Breaker","3 - Rare"
"IB-3","Tyler Busch","Ice Breaker","3 - Rare"
"IB-4","Jamal Watson","Ice Breaker","3 - Rare"
"EC-1","Joshua Waller","Editors Choice","3 - Rare"
"EC-2","Mathieu Gosselin","Editors Choice","3 - Rare"
"EH-1","Matt Alvaro","Exceptional Hits","4 - Ultra Rare"
"EH-2","Charlie Curti","Exceptional Hits","4 - Ultra Rare"
"EH-3","Josh Nixon","Exceptional Hits","4 - Ultra Rare"
"EA-1","Marcus Tesink","Exclusive Autos","4 - Ultra Rare"
"EA-2","Adam Long","Exclusive Autos","4 - Ultra Rare"
"EA-3","Jake Gravelle","Exclusive Autos","4 - Ultra Rare"
"DD-1","Hook Waller","Dynamic Duos","4 - Ultra Rare"
"LD-1","Leadership","Leadership","4 - Ultra Rare"
