"CardNumber","PlayerName","Type","Rarity"
"B-1","Oscar Curran","Base","1 - Common"
"B-2","Marc Loving","Base","1 - Common"
"B-3","Travis Evee","Base","1 - Common"
"B-4","Blake Bowman","Base","1 - Common"
"B-5","Tomiwa Sulaiman","Base","1 - Common"
"B-6","Aaron Menzies","Base","1 - Common"
"B-7","Donald Carey Jr","Base","1 - Common"
"B-8","Spencer Johnson","Base","1 - Common"
"B-9","RaeQuan Battle","Base","1 - Common"
"B-10","Victor Ndoukou","Base","1 - Common"
"B-11","Nate Martin","Base","1 - Common"
"B-12","Seth Wylie","Base","1 - Common"
"B-13","Flynn Boardman-Raffet","Base","1 - Common"
"B-14","Rob Paternostro","Base","1 - Common"
"B-15","Pablo Vazquez","Base","1 - Common"
"B-16","Will Maynard","Base","1 - Common"
"B-17","Soniyah Reed","Base","1 - Common"
"B-18","Miriam Carrasco Menendez","Base","1 - Common"
"B-19","Mercy Ademusayo","Base","1 - Common"
"B-20","Louisa Gibbins","Base","1 - Common"
"B-21","Kian Omer-Jones","Base","1 - Common"
"B-22","Katie Januszewska","Base","1 - Common"
"B-23","Jada Holland","Base","1 - Common"
"B-24","Hannah Gray","Base","1 - Common"
"B-25","Brooke Bigott","Base","1 - Common"
"B-26","Alex Shaw","Base","1 - Common"
"B-27","Alex Baker","Base","1 - Common"
"B-28","Nick Moodey","Base","1 - Common"
"LRC-1","Tyler Bernardini","Classics","1 - Common"
"LRC-2","Andrew Sullivan","Classics","1 - Common"
"CC-1","Tomiwa Sulaiman","Canvas","2 - Uncommon"
"CC-2","Victor Ndoukou","Canvas","2 - Uncommon"
"CC-3","Soniyah Reed","Canvas","2 - Uncommon"
"CC-4","Jada Holland","Canvas","2 - Uncommon"
"PT-1","Marc Loving","Portraits","2 - Uncommon"
"PT-2","RaeQuan Battle","Portraits","2 - Uncommon"
"PT-3","Tomiwa Sulaiman","Portraits","2 - Uncommon"
"PT-4","Jaylin Hunter","Portraits","2 - Uncommon"
"PT-5","Hannah Gray","Portraits","2 - Uncommon"
"PT-6","Geno Crandall","Portraits","2 - Uncommon"
"LG-1","Conner Washington","Legends","2 - Uncommon"
"LG-2","Eugene Waldron","Legends","2 - Uncommon"
"PS-1","Brooke Bigott","Poster","2 - Uncommon"
"PS-2","RaeQuan Battle","Poster","2 - Uncommon"
"PS-3","Katie Januszewska","Poster","2 - Uncommon"
"PS-4","Travis Evee","Poster","2 - Uncommon"
"AR-1","RaeQuan Battle","Above the Rim","2 - Uncommon"
"AR-2","Charles Thompson","Above the Rim","2 - Uncommon"
"AR-3","Aaron Menzies","Above the Rim","2 - Uncommon"
"AR-4","Spencer Johnson","Above the Rim","2 - Uncommon"
"V-1","Donald Carey Jr","Vison","2 - Uncommon"
"V-2","Travis Evee","Vison","2 - Uncommon"
"V-3","Jada Holland","Vison","2 - Uncommon"
"SH-1","RaeQuan Battle","Sharpshooter","2 - Uncommon"
"SH-2","Marc Loving","Sharpshooter","2 - Uncommon"
"SH-3","Brooke Bigott","Sharpshooter","2 - Uncommon"
"AS-1","RaeQuan Battle","All Star","3 - Rare"
"AS-2","Brooke Bigott","All Star","3 - Rare"
"AS-3","Donald Carey Jr","All Star","3 - Rare"
"AS-4","Jada Holland","All Star","3 - Rare"
"OW-1","Victor Ndoukou","Ones to Watch","3 - Rare"
"OW-2","Louisa Gibbins","Ones to Watch","3 - Rare"
"OW-3","Tomiwa Sulaiman","Ones to Watch","3 - Rare"
"OW-4","Hannah Gray","Ones to Watch","3 - Rare"
"EC-1","Flynn Boardman-Raffet","Editors Choice","3 - Rare"
"EC-2","Travis Evee","Editors Choice","3 - Rare"
"SA-1","Flynn Boardman-Raffet","Sponsored Athlete","3 - Rare"
"PR-1","Aaron Menzies","Prism","3 - Rare"
"PR-2","Donald Carey Jr","Prism","3 - Rare"
"PR-3","Hannah Gray","Prism","3 - Rare"
"SS-1","Spencer Johnson","Signature Series","3 - Rare"
"SS-2","Alex Shaw","Signature Series","3 - Rare"
"SS-3","Flynn Boardman-Raffet","Signature Series","3 - Rare"
"SS-4","Hannah Gray","Signature Series","3 - Rare"
"SS-5","Tomiwa Sulaiman","Signature Series","3 - Rare"
"SS-6","Kian Omer-Jones","Signature Series","3 - Rare"
"II-1","Donald Carey Jr","Incredible Inks","3 - Rare"
"II-2","Soniyah Reed","Incredible Inks","3 - Rare"
"II-3","RaeQuan Battle","Incredible Inks","3 - Rare"
"II-4","Jada Holland","Incredible Inks","3 - Rare"
"II-5","Travis Evee","Incredible Inks","3 - Rare"
"II-6","Katie Januszewska","Incredible Inks","3 - Rare"
"EA","Marc Loving","Exclusive Autos","4 - Ultra Rare"
"EA","Mercy Ademusayo","Exclusive Autos","4 - Ultra Rare"
"EA","Nick Moodey","Exclusive Autos","4 - Ultra Rare"
"EA","Rob Paternostro","Exclusive Autos","4 - Ultra Rare"
"EH","Alex Shaw","Exceptional Hits","4 - Ultra Rare"
"EH","Flynn Boardman-Raffet","Exceptional Hits","4 - Ultra Rare"
"EH","Kian Omer-Jones","Exceptional Hits","4 - Ultra Rare"
"EH","Victor Ndoukou","Exceptional Hits","4 - Ultra Rare"
