"CardNumber","PlayerName","Type","Sorting"
"B-1","Aiden Ainsworth-Cave","Base","1"
"B-2","Aiden Pugh","Base","1"
"B-3","Amena Caqusau","Base","1"
"B-4","Anthony Belleau","Base","1"
"B-5","Archie Appleby","Base","1"
"B-6","Archie Benson","Base","1"
"B-7","Archie McParland","Base","1"
"B-8","Billy Pasco","Base","1"
"B-9","Callum Chick","Base","1"
"B-10","Charlie Ulcoq","Base","1"
"B-11","Emeka Atuanya","Base","1"
"B-12","Chunya Munga","Base","1"
"B-13","Cleopas Kundiona","Base","1"
"B-14","Craig Wright","Base","1"
"B-15","Danilo Fischetti","Base","1"
"B-16","Edoardo Todaro","Base","1"
"B-17","Edward Prowse","Base","1"
"B-18","Elliot Millar Mills","Base","1"
"B-19","Emmanuel Iyogun","Base","1"
"B-20","Freddie St John","Base","1"
"B-21","Fyn Brown","Base","1"
"B-22","George Hendy","Base","1"
"B-23","Henry Lumley","Base","1"
"B-24","Henry Walker","Base","1"
"B-25","Jack Lawrence","Base","1"
"B-26","James Martin","Base","1"
"B-27","James Pater","Base","1"
"B-28","James Ramm","Base","1"
"B-29","Jonny Weimann","Base","1"
"B-30","Josh Kemeny","Base","1"
"B-31","JJ van der Mescht","Base","1"
"B-32","Luke Green","Base","1"
"B-33","Ollie Scola","Base","1"
"B-34","Robbie Smith","Base","1"
"B-35","Sam Graham","Base","1"
"B-36","Siep Walta","Base","1"
"B-37","Sonny Tonga'uiha","Base","1"
"B-38","Thomas Rowe","Base","1"
"B-39","Toby Thame","Base","1"
"B-40","Tom James","Base","1"
"B-41","Tom Litchfield","Base","1"
"B-42","Tom Lockett","Base","1"
"B-43","Tom Pearson","Base","1"
"B-44","Tom West","Base","1"
"B-45","Trevor Davison","Base","1"
"B-46","Will Glister","Base","1"
"B-47","Abbie Brown","Base","1"
"B-48","Alev Kelter","Base","1"
"B-49","Alicia Maude","Base","1"
"B-50","Amelia Williams","Base","1"
"B-51","Anne Young","Base","1"
"B-52","Ashton Adcock","Base","1"
"B-53","Becky Boyd","Base","1"
"B-54","Carmela Morrall","Base","1"
"B-55","Catherine Wells","Base","1"
"B-56","Christine Belisle","Base","1"
"B-57","Churchy Knight","Base","1"
"B-58","Elis Martin","Base","1"
"B-59","Ellen Scantlebury","Base","1"
"B-60","Ellie Roberts","Base","1"
"B-61","Ellie Tromans","Base","1"
"B-62","Evelyn Clarke","Base","1"
"B-63","Fancy Bermudez","Base","1"
"B-64","Freya MacColl","Base","1"
"B-65","Grace Clifford","Base","1"
"B-66","Haineala Latui","Base","1"
"B-67","Isla Curphey","Base","1"
"B-68","Keevy Fitzpatrick","Base","1"
"B-69","Keia-Mae Sagapolu","Base","1"
"B-70","Kendall Waudby","Base","1"
"B-71","Leia Brebner-Holden","Base","1"
"B-72","Lia Green","Base","1"
"B-73","Lucia Scott","Base","1"
"B-74","Lucy Calladine","Base","1"
"B-75","Lucy Finch","Base","1"
"B-76","Molly Luthayi","Base","1"
"B-77","Rachel Ehrecke","Base","1"
"B-78","Tahlia Brody","Base","1"
"B-79","Tamsin Baynes","Base","1"
"B-80","Tiwaah Adjei-Ansere","Base","1"
"M-1","European Finalists","Moments","2"
"M-2","Helena Rowland Drop Goal","Moments","2"
"M-3","Saracens Home Win","Moments","2"
"M-4","Academy League Win","Moments","2"
"IN-1","Henry Pollock","Internationals","3"
"IN-2","Fin Smith","Internationals","3"
"IN-3","Alex Mitchell","Internationals","3"
"IN-4","Tommy Freeman","Internationals","3"
"C-1","Captains","Captains","4"
"LG-1","Emily Scarratt","Legends","5"
"OW-1","Haineala Latui","Ones to Watch","6"
"OW-2","Edoardo Todaro","Ones to Watch","6"
"AS-1","Alex Mitchell","All Star","7"
"AS-2","Alex Coles","All Star","7"
"AS-3","Curtis Langdon","All Star","7"
"AS-4","Fin Smith","All Star","7"
"AS-5","Fraser Dingwall","All Star","7"
"AS-6","George Furbank","All Star","7"
"AS-7","Henry Pollock","All Star","7"
"AS-8","Ollie Sleightholme","All Star","7"
"AS-9","Rory Hutchinson","All Star","7"
"AS-10","Tommy Freeman","All Star","7"
"AS-11","Bo Westcombe-Evans","All Star","7"
"AS-12","Bulou Mataitoga","All Star","7"
"AS-13","Daisy Hibbert-Jones","All Star","7"
"AS-14","Helena Rowland","All Star","7"
"AS-15","Helen Nelson","All Star","7"
"AS-16","Kathryn Treder","All Star","7"
"AS-17","Lilli Ives Campion","All Star","7"
"AS-18","Megan Davey","All Star","7"
"AS-19","Sadia Kabeya","All Star","7"
"SS-1","Callum Chick","Signature Series","8"
"SS-2","Fraser Dingwall","Signature Series","8"
"SS-3","Rory Hutchinson","Signature Series","8"
"SS-4","James Ramm","Signature Series","8"
"SS-5","Tom Pearson","Signature Series","8"
"SS-6","Ollie Sleightholme","Signature Series","8"
"SS-7","Helena Rowland","Signature Series","8"
"SS-8","Helen Nelson","Signature Series","8"
"SS-9","adia Kabeya","Signature Series","8"
