"CardNumber","PlayerName","Type","Rarity"
"B-1","Dirk Williams","Base","1 - Common"
"B-2","Prentiss Nixon","Base","1 - Common"
"B-3","Rodney Chatman III","Base","1 - Common"
"B-4","William Lee","Base","1 - Common"
"B-5","Mervin James","Base","1 - Common"
"B-6","Reyad West","Base","1 - Common"
"B-7","Jordan Ratinho","Base","1 - Common"
"B-8","Rodney Glasgow Jr","Base","1 - Common"
"B-9","Mike Ochereobia","Base","1 - Common"
"B-10","Nick Kern Jr","Base","1 - Common"
"B-11","Atiba Lyons","Base","1 - Common"
"B-12","David Martinez","Base","1 - Common"
"B-13","Marko Backovic","Base","1 - Common"
"B-14","Owen Norfolk","Base","1 - Common"
"AB-1","Dirk Williams","Alt Base","1 - Common"
"AB-2","Prentiss Nixon","Alt Base","1 - Common"
"AB-3","Rodney Chatman III","Alt Base","1 - Common"
"AB-4","William Lee","Alt Base","1 - Common"
"AB-5","Mervin James","Alt Base","1 - Common"
"AB-6","Reyad West","Alt Base","1 - Common"
"AB-7","Jordan Ratinho","Alt Base","1 - Common"
"AB-8","Rodney Glasgow Jr","Alt Base","1 - Common"
"AB-9","Mike Ochereobia","Alt Base","1 - Common"
"AB-10","Nick Kern Jr","Alt Base","1 - Common"
"AB-11","Atiba Lyons","Alt Base","1 - Common"
"AB-12","David Martinez","Alt Base","1 - Common"
"AB-13","Marko Backovic","Alt Base","1 - Common"
"AB-14","Owen Norfolk","Alt Base","1 - Common"
"SSC-1","Atiba Lyons","Classics","1 - Common"
"SSC-2","Chris Finch","Classics","1 - Common"
"SSC-3","Mike Tuck","Classics","1 - Common"
"SSC-4","Terrell Myers","Classics","1 - Common"
"LG-1","Logo","Logo","1 - Common"
"CC-1","Dirk Williams","Canvas","2 - Uncommon"
"CC-2","Mervin James","Canvas","2 - Uncommon"
"CC-3","Mike Ochereobia","Canvas","2 - Uncommon"
"CC-4","Rodney Glasgow Jr","Canvas","2 - Uncommon"
"PT-1","Prentiss Nixon","Portraits","2 - Uncommon"
"PT-2","Rodney Chatman III","Portraits","2 - Uncommon"
"PT-3","Jordan Ratinho","Portraits","2 - Uncommon"
"PT-4","William Lee","Portraits","2 - Uncommon"
"PS-1","Prentiss Nixon","Poster","2 - Uncommon"
"PS-2","Dirk Williams","Poster","2 - Uncommon"
"PS-3","Rodney Chatman III","Poster","2 - Uncommon"
"PS-4","Rodney Glasgow Jr","Poster","2 - Uncommon"
"AR-1","Dirk Williams","Above the Rim","2 - Uncommon"
"AR-2","William Lee","Above the Rim","2 - Uncommon"
"AR-3","Mike Ochereobia","Above the Rim","2 - Uncommon"
"AR-4","Mervin James","Above the Rim","2 - Uncommon"
"V-1","Rodney Glasgow Jr","Vision","2 - Uncommon"
"V-2","Nick Kern Jr","Vision","2 - Uncommon"
"V-3","Jordan Ratinho","Vision","2 - Uncommon"
"SH-1","Dirk Williams","Sharpshooter","2 - Uncommon"
"SH-2","Rodney Chatman III","Sharpshooter","2 - Uncommon"
"SH-3","Prentiss Nixon","Sharpshooter","2 - Uncommon"
"HT-1","Reyad West","Hometown","2 - Uncommon"
"HT-2","Mike Ochereobia","Hometown","2 - Uncommon"
"FF-1","Prentiss Nixon","Fan Faves","2 - Uncommon"
"FF-2","Dirk Williams","Fan Faves","2 - Uncommon"
"AS-1","Dirk Williams","All Star","3 - Rare"
"AS-2","Rodney Chatman III","All Star","3 - Rare"
"AS-3","Prentiss Nixon","All Star","3 - Rare"
"OW-1","Nick Kern Jr","Ones to Watch","3 - Rare"
"OW-2","Reyad West","Ones to Watch","3 - Rare"
"EC-1","Jordan Ratinho","Editors Choice","3 - Rare"
"EC-2","William Lee","Editors Choice","3 - Rare"
"PR-1","William Lee","Prism","3 - Rare"
"PR-2","Rodney Glasgow Jr","Prism","3 - Rare"
"SA-1","Rodney Glasgow Jr","Sponsored Athletes","3 - Rare"
"SS-1","Prentiss Nixon","Signature Series","3 - Rare"
"SS-2","Rodney Glasgow Jr","Signature Series","3 - Rare"
"SS-3","Rodney Chatman III","Signature Series","3 - Rare"
"SS-4","Nick Kern Jr","Signature Series","3 - Rare"
"II-1","Dirk Williams","Incredible Inks","3 - Rare"
"II-2","Jordan Ratinho","Incredible Inks","3 - Rare"
"II-3","William Lee","Incredible Inks","3 - Rare"
"II-4","Mervin James","Incredible Inks","3 - Rare"
"EA-1","Mike Ochereobia","Exclusive Autos","4 - Ultra Rare"
"EA-2","Reyad West","Exclusive Autos","4 - Ultra Rare"
"EA-3","Atiba Lyons","Exclusive Autos","4 - Ultra Rare"
"EH-1","Rodney Chatman III","Exceptional Hits","4 - Ultra Rare"
"EH-2","Prentiss Nixon","Exceptional Hits","4 - Ultra Rare"
"EH-3","Rodney Glasgow Jr","Exceptional Hits","4 - Ultra Rare"
