CardNumber,PlayerName,Type,Rarity
B-15,Mark Cooper,Base,1 - Common
B-16,Jordan Kawaguchi,Base,1 - Common
B-17,Ben Lake,Base,1 - Common
B-18,Ciaran Long,Base,1 - Common
B-19,Grant MIsmash,Base,1 - Common
B-20,Pierre-Olivier Morin,Base,1 - Common
B-21,Kyle Osterberg,Base,1 - Common
B-22,J.J Piccinich,Base,1 - Common
B-23,Adam Keefe,Base,1 - Common
B-24,Jeff Mason,Base,1 - Common
B-25,George Awada,Base,1 - Common
B-26,Rob Stewart,Base,1 - Common
B-27,Karl Boudrais,Base,1 - Common
B-28,David Goodwin,Base,1 - Common
AB-15,Bobo Carpenter,Alt Base,1 - Common
AB-16,Elijiah Barriga,Alt Base,1 - Common
AB-17,Josh Roach,Alt Base,1 - Common
AB-18,Cameron Pound,Alt Base,1 - Common
AB-19,Mike Lee,Alt Base,1 - Common
AB-20,Bo Hanson,Alt Base,1 - Common
AB-21,Zak Galambos,Alt Base,1 - Common
AB-22,Jeff Baum,Alt Base,1 - Common
AB-23,Gabe Bast,Alt Base,1 - Common
AB-24,Jackson Whistle,Alt Base,1 - Common
AB-25,Tom McCollum,Alt Base,1 - Common
AB-26,Andrew Dickson,Alt Base,1 - Common
AB-27,Karl Boudrais,Alt Base,1 - Common
AB-28,David Goodwin,Alt Base,1 - Common
CL,Checklist,Checklist,1 - Common
16-1,Adam Keefe,16-Bit,2 - Uncommon
16-2,Elijiah Barriga,16-Bit,2 - Uncommon
16-3,Joe Cassetti,16-Bit,2 - Uncommon
16-4,Jeff Baum,16-Bit,2 - Uncommon
FF-3,David Goodwin,Fan Faves,2 - Uncommon
FF-4,J.J Piccinich,Fan Faves,2 - Uncommon
CC-7,Jackson Whistle,Canvas,2 - Uncommon
CC-8,Mike Lee,Canvas,2 - Uncommon
CC-9,Mark Cooper,Canvas,2 - Uncommon
CC-10,Jordan Kawaguchi,Canvas,2 - Uncommon
PM-2,Elijiah Barriga,Playmaker,2 - Uncommon
PT-5,Bo Hanson,Portraits,2 - Uncommon
PT-6,Zak Galambos,Portraits,2 - Uncommon
PT-7,Andrew Dickson,Portraits,2 - Uncommon
PT-8,Cameron Pound,Portraits,2 - Uncommon
PT-9,Grant MIsmash,Portraits,2 - Uncommon
PT-10,Kyle Osterberg,Portraits,2 - Uncommon
PS-5,David Goodwin,Poster,2 - Uncommon
PS-6,Scott Conway,Poster,2 - Uncommon
PS-7,J.J Piccinich,Poster,2 - Uncommon
PS-8,Jordan Kawaguchi,Poster,2 - Uncommon
SH-2,Scott Conway,Sharpshooter,2 - Uncommon
AS-3,Tom McCollum,All Stars,3 - Rare
AS-4,David Goodwin,All Stars,3 - Rare
IB-1,Scott Conway,Ice Breakers,3 - Rare
IB-2,Tom McCollum,Ice Breakers,3 - Rare
IB-3,Gabe Bast,Ice Breakers,3 - Rare
IB-4,Mike Lee,Ice Breakers,3 - Rare
SS-7,Bobo Carpenter,Signature Series,3 - Rare
SS-8,Bo Hanson,Signature Series,3 - Rare
SS-9,Gabe Bast,Signature Series,3 - Rare
SS-10,Grant MIsmash,Signature Series,3 - Rare
SS-11,Mike Lee,Signature Series,3 - Rare
SS-12,Andrew Dickson,Signature Series,3 - Rare
EH,Bo Hanson,Exceptional Hits,4 - Ultra Rare
EA,Adam Keefe,Exclusive Autos,4 - Ultra Rare
SP-3,Scott Conway,Spectrum,4 - Ultra Rare
SP-4,Cameron Pound,Spectrum,4 - Ultra Rare
