"CardNumber","PlayerName","Type","Rarity"
"B-1","Scott Conway","Base","1 - Common"
"B-2","David Goodwin","Base","1 - Common"
"B-3","J.J. Piccinich","Base","1 - Common"
"B-4","Ben Lake","Base","1 - Common"
"B-5","Jackson Whistle","Base","1 - Common"
"B-6","Alexis Gravel","Base","1 - Common"
"B-7","Josh Roach","Base","1 - Common"
"B-8","Ciaran Long","Base","1 - Common"
"B-9","Bo Hanson","Base","1 - Common"
"B-10","Jordan Kawaguchi","Base","1 - Common"
"B-11","Gabe Bast","Base","1 - Common"
"B-12","Sam Jones","Base","1 - Common"
"B-13","Ryan Smith","Base","1 - Common"
"AB-1","Adam Keefe","Alt Base","1 - Common"
"AB-2","Jeff Mason","Alt Base","1 - Common"
"AB-3","Rob Stewart","Alt Base","1 - Common"
"AB-4","George Awada","Alt Base","1 - Common"
"AB-5","Karl Boudrais","Alt Base","1 - Common"
"AB-6","Nicolas Guay","Alt Base","1 - Common"
"AB-7","Patrick Grasso","Alt Base","1 - Common"
"AB-8","Marcus Eriksson","Alt Base","1 - Common"
"AB-9","Garrett McFadden","Alt Base","1 - Common"
"AB-10","Reid Irwin","Alt Base","1 - Common"
"AB-11","Mike Lee","Alt Base","1 - Common"
"AB-12","Brandon Whistle","Alt Base","1 - Common"
"AB-12","Jake Gaudet","Alt Base","1 - Common"
"AB-13","Ryan Smith","Alt Base","1 - Common"
"LG-1","Logo","Logo","1 - Common"
"MC-1","Finn McCool","Mascot","1 - Common"
"BGC-1","Colin Ward","Classics","1 - Common"
"BGC-2","Jeff Hoad","Classics","1 - Common"
"BGC-3","Paxton Schulte","Classics","1 - Common"
"BGC-4","Jason Bowen","Classics","1 - Common"
"BGC-5","Mark Cavallin","Classics","1 - Common"
"HT-1","Ben Lake","Hometown","2 - Uncommon"
"HT-2","Alexis Gravel","Hometown","2 - Uncommon"
"HT-3","David Goodwin","Hometown","2 - Uncommon"
"HT-4","Ryan Smith","Hometown","2 - Uncommon"
"PT-1","Sam Jones","Portraits","2 - Uncommon"
"PT-2","Marcus Eriksson","Portraits","2 - Uncommon"
"PT-3","Ben Lake","Portraits","2 - Uncommon"
"CC-1","Brandon Whistle","Canvas","2 - Uncommon"
"CC-2","Ciaran Long","Canvas","2 - Uncommon"
"CC-3","Patrick Grasso","Canvas","2 - Uncommon"
"SH-1","Jordan Kawaguchi","Sharpshooter","2 - Uncommon"
"SH-2","Nicolas Guay","Sharpshooter","2 - Uncommon"
"PM-1","Mike Lee","Playmaker","2 - Uncommon"
"PM-2","J.J. Piccinich","Playmaker","2 - Uncommon"
"BL-1","Mike Lee","Blueliner","2 - Uncommon"
"BL-2","Gabe Bast","Blueliner","2 - Uncommon"
"GD-1","Jackson Whistle","Guardian","2 - Uncommon"
"16-1","Brandon Whistle","16-Bit","2 - Uncommon"
"16-2","Karl Boudrais","16-Bit","2 - Uncommon"
"16-3","Ryan Smith","16-Bit","2 - Uncommon"
"16-4","Josh Roach","16-Bit","2 - Uncommon"
"FF-1","Marcus Eriksson","Fan Faves","2 - Uncommon"
"FF-2","Ben Lake","Fan Faves","2 - Uncommon"
"FF-3","Jordan Kawaguchi","Fan Faves","2 - Uncommon"
"PS-1","Mike Lee","Poster","2 - Uncommon"
"PS-2","Bo Hanson","Poster","2 - Uncommon"
"PS-3","Jake Gaudet","Poster","2 - Uncommon"
"PS-4","Nicolas Guay","Poster","2 - Uncommon"
"SS-1","Jackson Whistle","Signature Series","3 - Rare"
"SS-2","Reid Irwin","Signature Series","3 - Rare"
"SS-3","Marcus Eriksson","Signature Series","3 - Rare"
"SS-4","Mike Lee","Signature Series","3 - Rare"
"SS-5","Alexis Gravel","Signature Series","3 - Rare"
"OW-1","Kell Beattie","Ones to Watch","3 - Rare"
"OW-2","Carter Hamill","Ones to Watch","3 - Rare"
"OW-3","Rhodes Mitchell-King","Ones to Watch","3 - Rare"
"AS-1","Marcus Eriksson","All Star","3 - Rare"
"AS-2","J.J. Piccinich","All Star","3 - Rare"
"PR-1","Marcus Eriksson","Prism","3 - Rare"
"PR-2","Nicolas Guay","Prism","3 - Rare"
"PR-3","J.J. Piccinich","Prism","3 - Rare"
"IB-1","David Goodwin","Ice Breaker","3 - Rare"
"IB-2","Jake Gaudet","Ice Breaker","3 - Rare"
"IB-3","Scott Conway","Ice Breaker","3 - Rare"
"IB-4","Patrick Grasso","Ice Breaker","3 - Rare"
"EC-1","Scott Conway","Editors Choice","3 - Rare"
"EC-2","J.J. Piccinich","Editors Choice","3 - Rare"
"EC-3","Jackson Whistle","Editors Choice","3 - Rare"
"EH-1","Mike Lee","Exceptional Hits","4 - Ultra Rare"
"EH-2","Alexis Gravel","Exceptional Hits","4 - Ultra Rare"
"EH-3","Gabe Bast","Exceptional Hits","4 - Ultra Rare"
"EA-1","Garrett McFadden","Exclusive Autos","4 - Ultra Rare"
"EA-2","Jake Gaudet","Exclusive Autos","4 - Ultra Rare"
"EA-3","Nicolas Guay","Exclusive Autos","4 - Ultra Rare"
"DD-1","Conway Piccinich","Dynamic Duos","4 - Ultra Rare"
"LD-1","Leadership","Leadership","4 - Ultra Rare"
