CardNumber,PlayerName,Type,Rarity
B-15,Ben Davies,Base,1 - Common
B-16,Samuel Duggan,Base,1 - Common
B-17,Reid Duke,Base,1 - Common
B-18,Josh MacDonald,Base,1 - Common
B-19,Joey Martin,Base,1 - Common
B-20,Zach O’Brien,Base,1 - Common
B-21,Kohen Olischefski,Base,1 - Common
B-22,Brett Perlini,Base,1 - Common
B-23,Cole Sanford,Base,1 - Common
B-24,Hunter Shinkaruk,Base,1 - Common
B-25,Matthew Myers,Base,1 - Common
B-26,Pete Russell,Base,1 - Common
B-27,Taz Burman,Base,1 - Common
B-28,Brad Schoonbaert,Base,1 - Common
AB-15,Ryan Barrow,Alt Base,1 - Common
AB-16,Mark Richardson,Alt Base,1 - Common
AB-17,Evan Mosey,Alt Base,1 - Common
AB-18,Andrew MacWilliam,Alt Base,1 - Common
AB-19,Jarrod Gourley,Alt Base,1 - Common
AB-20,Gleason Fournier,Alt Base,1 - Common
AB-21,Cody Donaghey,Alt Base,1 - Common
AB-22,Josh Batch,Alt Base,1 - Common
AB-23,Mac Carruth,Alt Base,1 - Common
AB-24,Ben Bowns,Alt Base,1 - Common
AB-25,Taz Burman,Alt Base,1 - Common
AB-26,Brad Schoonbaert,Alt Base,1 - Common
CL,Checklist,Checklist,1 - Common
CC-7,Ben Bowns,Canvas,2 - Uncommon
CC-8,Gleason Fournier,Canvas,2 - Uncommon
CC-9,Mark Richardson,Canvas,2 - Uncommon
CC-10,Joey Martin,Canvas,2 - Uncommon
PT-5,Taz Burman,Portrait,2 - Uncommon
PT-6,Riley Brandt,Portrait,2 - Uncommon
PT-7,Samuel Duggan,Portrait,2 - Uncommon
PT-8,Zach O’Brien,Portrait,2 - Uncommon
PT-9,Cole Sanford,Portrait,2 - Uncommon
PT-10,Hunter Shinkaruk,Portrait,2 - Uncommon
PS-5,Mac Carruth,Poster,2 - Uncommon
PS-6,Ben Davies,Poster,2 - Uncommon
PS-7,Brett Perlini,Poster,2 - Uncommon
PS-8,Mark Richardson,Poster,2 - Uncommon
16-1,Tyler Busch,Base,1 - Common
16-2,Jarrod Gourley,Base,1 - Common
16-3,Ryan Barrow,Base,1 - Common
16-4,Cody Donaghey,Base,1 - Common
IB-1,Cole Sanford,Ice Breakers,3 - Rare
IB-2,Reid Duke,Ice Breakers,3 - Rare
IB-3,Brett Perlini,Ice Breakers,3 - Rare
IB-4,Kohen Olischefski,Ice Breakers,3 - Rare
FF-3,Joey Martin,Fan Faves,2 - Uncommon
FF-4,Cole Sanford,Fan Faves,2 - Uncommon
BM-1,Team Celebration,Blindside Moments,3 - Rare
BM-2,Bayley Harewood,Blindside Moments,3 - Rare
BM-3,Andrew MacWilliam,Blindside Moments,3 - Rare
BM-4,Cody Donaghey,Blindside Moments,3 - Rare
MS-1,Mark Richardson,Milestones,3 - Rare
PM-2,Gleason Fournier,Playmaker,2 - Uncommon
SH-2,Josh MacDonald,Sharpshooter,2 - Uncommon
SP-3,Mac Carruth,Spectrum,4 - Ultra Rare
SP-4,Taz,Spectrum,4 - Ultra Rare
AS-3,Ben Bowns,All Star,3 - Rare
AS-4,Zach O’Brien,All Star,3 - Rare
OW-2,Bayley Harewood,Ones To Watch,3 - Rare
SS-7,Ben Bowns,Signature Series,3 - Rare
SS-8,Josh Batch,Signature Series,3 - Rare
SS-9,Ryan Barrow,Signature Series,3 - Rare
SS-10,Ben Davies,Signature Series,3 - Rare
SS-11,Reid Duke,Signature Series,3 - Rare
SS-12,Josh MacDonald,Signature Series,3 - Rare
EA-1,Kohen Olischefski,Exclusive Autos,4 - Ultra Rare
EA-2,Taz Burman,Exclusive Autos,4 - Ultra Rare
EH-1,Cody Donaghey,Exceptional Hits,4 - Ultra Rare
EH-2,Evan Mosey,Exceptional Hits,4 - Ultra Rare
