CardNumber,PlayerName,Type,Rarity
B-15,Kameron Kielly,Base,1 - Common
B-16,Jonathan McBean,Base,1 - Common
B-17,Brogan O’Brien,Base,1 - Common
B-18,Philippe Sanche,Base,1 - Common
B-19,Alex Tonge,Base,1 - Common
B-20,Zach Tsekos,Base,1 - Common
B-21,Keanu Yamamoto,Base,1 - Common
B-22,Marc LeFebvre,Base,1 - Common
B-23,Spencer Naas,Base,1 - Common
B-24,Alex Robert,Base,1 - Common
AB-15,Jarrett Fiske,Alt Base,1 - Common
AB-16,Richard Sabol,Alt Base,1 - Common
AB-17,Drydn Dow,Alt Base,1 - Common
AB-18,Kris Inglis,Alt Base,1 - Common
AB-19,Cole MacDonald,Alt Base,1 - Common
AB-20,Craig Moore,Alt Base,1 - Common
AB-21,Ben O’Connor,Alt Base,1 - Common
AB-22,Xavier Pouliot,Alt Base,1 - Common
AB-23,Spencer Naas,Alt Base,1 - Common
AB-24,Alex Robert,Alt Base,1 - Common
CL,Checklist,Checklist,1 - Common
CC-7,Richard Sabol,Canvas,2 - Uncommon
CC-8,Kyle Pouncy,Canvas,2 - Uncommon
CC-9,Kris Inglis,Canvas,2 - Uncommon
CC-10,Cole MacDonald,Canvas,2 - Uncommon
PT-5,Domenic Alberga,Portrait,2 - Uncommon
PT-6,Kameron Kielly,Portrait,2 - Uncommon
PT-7,Alex Robert,Portrait,2 - Uncommon
PT-8,Philippe Sanche,Portrait,2 - Uncommon
PT-9,Spencer Naas,Portrait,2 - Uncommon
PT-10,Craig Moore,Portrait,2 - Uncommon
PS-5,Brendan Harms,Poster,2 - Uncommon
PS-6,Brett Gravelle,Poster,2 - Uncommon
PS-7,Jake Elmer,Poster,2 - Uncommon
PS-8,Spencer Naas,Poster,2 - Uncommon
16-1,Kris Inglis,Base,1 - Common
16-2,Jonathan McBean,Base,1 - Common
16-3,Craig Moore,Base,1 - Common
16-4,Brendan Harms,Base,1 - Common
IB-1,Brendan Harms,Ice Breakers,3 - Rare
IB-2,Richard Sabol,Ice Breakers,3 - Rare
IB-3,Drydn Dow,Ice Breakers,3 - Rare
IB-4,Zach Tsekos,Ice Breakers,3 - Rare
FF-3,Spencer Naas,Fan Faves,2 - Uncommon
FF-4,Philippe Sanche,Fan Faves,2 - Uncommon
PM-2,Drydn Dow,Playmaker,2 - Uncommon
SH-2,Zach Tsekos,Sharpshooter,2 - Uncommon
SP-3,Brogan O’Brien,Spectrum,4 - Ultra Rare
SP-4,Xavier Pouliot,Spectrum,4 - Ultra Rare
AS-3,Brendan Harms,All Star,3 - Rare
AS-4,Spencer Naas,All Star,3 - Rare
OW-2,Jonathan McBean,Ones To Watch,3 - Rare
SS-7,Philippe Sanche,Signature Series,3 - Rare
SS-8,Kameron Kielly,Signature Series,3 - Rare
SS-9,Jonathan McBean,Signature Series,3 - Rare
SS-10,Brett Gravelle,Signature Series,3 - Rare
SS-11,Xavier Pouliot,Signature Series,3 - Rare
SS-12,Kyle Pouncy,Signature Series,3 - Rare
EA-1,Alex Robert,Exclusive Autos,4 - Ultra Rare
EA-2,Spencer Naas,Exclusive Autos,4 - Ultra Rare
EH-1,Keanu Yamamoto,Exceptional Hits,4 - Ultra Rare
EH-2,Kyle Pouncy,Exceptional Hits,4 - Ultra Rare
