"CardNumber","PlayerName","Type","Rarity"
"B-1","Drydn Dow","Base","1 - Common"
"B-2","Jarrett Fiske","Base","1 - Common"
"B-3","Jonathan McBean","Base","1 - Common"
"B-4","Craig Moore","Base","1 - Common"
"B-5","Jackson Desouza","Base","1 - Common"
"B-6","Craig Garrigan","Base","1 - Common"
"B-7","Keanu Yamamoto","Base","1 - Common"
"B-8","Dominick Jaglar","Base","1 - Common"
"B-9","Kris Inglis","Base","1 - Common"
"B-10","Griffin Luce","Base","1 - Common"
"B-11","Morten Jürgens","Base","1 - Common"
"B-12","Matt Berry","Base","1 - Common"
"AB-1","Marc LeFebvre","Alt Base","1 - Common"
"AB-2","Otto Nieminen","Alt Base","1 - Common"
"AB-3","Jaydn Baxter","Alt Base","1 - Common"
"AB-4","Hampus Olsson","Alt Base","1 - Common"
"AB-5","Emil Kruse","Alt Base","1 - Common"
"AB-6","Kameron Kielly","Alt Base","1 - Common"
"AB-7","Matt Boudens","Alt Base","1 - Common"
"AB-8","Brad Schoonbaert","Alt Base","1 - Common"
"AB-9","Ben Almquist","Alt Base","1 - Common"
"AB-10","Justin Bean","Alt Base","1 - Common"
"AB-11","Spencer Naas","Alt Base","1 - Common"
"AB-12","Matt Berry","Alt Base","1 - Common"
"LG-1","Logo","Logo","1 - Common"
"MSC-1","Paul Berrington","Classics","1 - Common"
"MSC-2","Garry Dowd","Classics","1 - Common"
"MSC-3","Andrew Finlay","Classics","1 - Common"
"MSC-4","Craig Nelson","Classics","1 - Common"
"HT-1","Kris Inglis","Hometown","2 - Uncommon"
"HT-2","Drydn Dow","Hometown","2 - Uncommon"
"HT-3","Jarrett Fiske","Hometown","2 - Uncommon"
"HT-4","Morten Jürgens","Hometown","2 - Uncommon"
"PT-1","Otto Nieminen","Portraits","2 - Uncommon"
"PT-2","Kameron Kielly","Portraits","2 - Uncommon"
"PT-3","Keanu Yamamoto","Portraits","2 - Uncommon"
"CC-1","Justin Bean","Canvas","2 - Uncommon"
"CC-2","Craig Moore","Canvas","2 - Uncommon"
"CC-3","Ben Almquist","Canvas","2 - Uncommon"
"SH-1","Hampus Olsson","Sharpshooter","2 - Uncommon"
"PM-1","Matt Berry","Playmaker","2 - Uncommon"
"BL-1","Drydn Dow","Blueliner","2 - Uncommon"
"BL-2","Justin Bean","Blueliner","2 - Uncommon"
"GD-1","Jarrett Fiske","Guardian","2 - Uncommon"
"16-1","Craig Garrigan","16-Bit","2 - Uncommon"
"16-2","Dominick Jaglar","16-Bit","2 - Uncommon"
"16-3","Jackson Desouza","16-Bit","2 - Uncommon"
"16-4","Brad Schoonbaert","16-Bit","2 - Uncommon"
"FF-1","Drydn Dow","Fan Faves","2 - Uncommon"
"FF-2","Spencer Naas","Fan Faves","2 - Uncommon"
"PS-1","Otto Nieminen","Poster","2 - Uncommon"
"PS-2","Kameron Kielly","Poster","2 - Uncommon"
"PS-3","Keanu Yamamoto","Poster","2 - Uncommon"
"PS-4","Matt Boudens","Poster","2 - Uncommon"
"SS-1","Matt Berry","Signature Series","3 - Rare"
"SS-2","Rio Page","Signature Series","3 - Rare"
"SS-3","Brad Schoonbaert","Signature Series","3 - Rare"
"SS-4","Jackson Desouza","Signature Series","3 - Rare"
"SS-5","Jarrett Fiske","Signature Series","3 - Rare"
"SS-6","Otto Nieminen","Signature Series","3 - Rare"
"OW-1","Jonathan McBean","Ones to Watch","3 - Rare"
"OW-2","Dominick Jaglar","Ones to Watch","3 - Rare"
"OW-3","Jackson Desouza","Ones to Watch","3 - Rare"
"AS-1","Hampus Olsson","All Star","3 - Rare"
"AS-2","Ben Almquist","All Star","3 - Rare"
"AS-3","Matt Berry","All Star","3 - Rare"
"PR-1","Jaydn Baxter","Prism","3 - Rare"
"PR-2","Emil Kruse","Prism","3 - Rare"
"PR-3","Justin Bean","Prism","3 - Rare"
"IB-1","Morten Jürgens","Ice Breaker","3 - Rare"
"IB-2","Hampus Olsson","Ice Breaker","3 - Rare"
"IB-3","Jackson Desouza","Ice Breaker","3 - Rare"
"IB-4","Drydn Dow","Ice Breaker","3 - Rare"
"EC-1","Brad Schoonbaert","Editors Choice","3 - Rare"
"EC-2","Spencer Naas","Editors Choice","3 - Rare"
"EH-1","Kameron Kielly","Exceptional Hits","4- Ultra Rare"
"EH-2","Jackson Desouza","Exceptional Hits","4- Ultra Rare"
"EH-3","Hampus Olsson","Exceptional Hits","4- Ultra Rare"
"EA-1","Jonathan McBean","Exclusive Autos","4- Ultra Rare"
"EA-2","Justin Bean","Exclusive Autos","4- Ultra Rare"
"EA-3","Emil Kruse","Exclusive Autos","4- Ultra Rare"
"DD-1","Olsson Almquist","Dynamic Duo","4- Ultra Rare"
"LD-1","Leadership","Leadership","4- Ultra Rare"
