CardNumber,PlayerName,Type,Rarity
2,Will Becconsall,Base,1 - Common
3,Kwenzo Blose,Base,1 - Common
4,Paul Brown-Bampoe,Base,1 - Common
5,Tom Cairns,Base,1 - Common
6,Richard Capstick,Base,1 - Common
11,Will Goodrick-Clarke,Base,1 - Common
13,Ben Hammersley,Base,1 - Common
14,Will Haydon-Wood,Base,1 - Common
15,Josh Hodge,Base,1 - Common
17,Josh Iosefa-Scott,Base,1 - Common
20,Dan John,Base,1 - Common
21,Max Norey,Base,1 - Common
22,Ehren Painter,Base,1 - Common
23,Lewis Pearson,Base,1 - Common
24,Will Rigg,Base,1 - Common
26,Jimmy Roots,Base,1 - Common
28,Harvey Skinner,Base,1 - Common
31,Tamati Tua,Base,1 - Common
32,Rusi Tuima,Base,1 - Common
35,Zack Wimbush,Base,1 - Common
36,Olly Woodburn,Base,1 - Common
37,Tommy Wyatt,Base,1 - Common
38,Jack Yeandle,Base,1 - Common
CL,Checklist,Checklist,1 - Common
48,Big Chief,Mascot,1 - Common
1,Joe Bailey,Ones To Watch,2 - Uncommon
7,Ben Coen,Ones To Watch,2 - Uncommon
12,Louie Gulley,Ones To Watch,2 - Uncommon
18,Kane James,Ones To Watch,2 - Uncommon
8,Joseph Dweba,All Star,2 - Uncommon
9,Immanuel Feyi-Waboso,All Star,2 - Uncommon
10,Greg Fisilau,All Star,2 - Uncommon
16,Tom Hooper,All Star,2 - Uncommon
19,Dafydd Jenkins,All Star,2 - Uncommon
25,Ethan Roots,All Star,2 - Uncommon
27,Scott Sio,All Star,2 - Uncommon
29,Henry Slade,All Star,2 - Uncommon
30,Christ Tshiunza,All Star,2 - Uncommon
33,Stephen Varney,All Star,2 - Uncommon
34,Ross Vintcent,All Star,2 - Uncommon
39,Len Ikitau,All Star,2 - Uncommon
49,Jack Yeandle,Portrait,2 - Uncommon
40,Ben Moon,Blindside Legend,3 - Rare
41,Dean Mumm,Blindside Legend,3 - Rare
42,Don Armand,Blindside Legend,3 - Rare
43,Gareth Steenson,Blindside Legend,3 - Rare
44,Ian Whitten,Blindside Legend,3 - Rare
45,Phil Dollman,Blindside Legend,3 - Rare
46,Richie Baxter,Blindside Legend,3 - Rare
47,Rob Baxter,Blindside Legend,3 - Rare
50,Paul Brown-Bampoe,Signature Series,3 - Rare
51,Jack Yeandle,Signature Series,3 - Rare
52,Henry Slade,Signature Series,3 - Rare
53,Olly Woodburn,Signature Series,3 - Rare
54,Greg Fisilau,Signature Series,3 - Rare
55,Scott Sio,Signature Series,3 - Rare
56,Immanuel Feyi-Waboso,Signature Series,3 - Rare
57,Josh Hodge,Signature Series,3 - Rare
EA-1,Christ Tshiunza,Exclusive Auto,4 - Ultra Rare
EA-2,Ethan Roots,Exclusive Auto,4 - Ultra Rare
EA-3,Harvey Skinner,Exclusive Auto,4 - Ultra Rare
EA-4,Ross Vintcent,Exclusive Auto,4 - Ultra Rare
EA-5,Tommy Wyatt,Exclusive Auto,4 - Ultra Rare
