CardNumber,PlayerName,Type,Rarity
B-15,Rob Lachowicz,Base,1 - Common
B-16,Tyson McLellan,Base,1 - Common
B-17,Cade Neilson,Base,1 - Common
B-18,Félix Paré,Base,1 - Common
B-19,Michael Pelech,Base,1 - Common
B-20,Nick Prkusic,Base,1 - Common
B-21,Rylan Schwartz,Base,1 - Common
B-22,Deven Sideroff,Base,1 - Common
B-23,Cole Ully,Base,1 - Common
B-24,Corey Neilson,Base,1 - Common
B-25,Mike Sirant,Base,1 - Common
B-26,Chris Martenet,Base,1 - Common
B-27,Matt Berry,Base,1 - Common
AB-15,Cade Neilson,Alt Base,1 - Common
AB-16,Liam Finlay,Alt Base,1 - Common
AB-17,Matt Stief,Alt Base,1 - Common
AB-18,Steven Seigo,Alt Base,1 - Common
AB-19,Chris McKay,Alt Base,1 - Common
AB-20,Darien Kielb,Alt Base,1 - Common
AB-21,Reece Kelly,Alt Base,1 - Common
AB-22,Joseph Hazeldine,Alt Base,1 - Common
AB-23,Simon Després,Alt Base,1 - Common
AB-24,Lucas Brine,Alt Base,1 - Common
AB-25,Landon Bow,Alt Base,1 - Common
AB-26,Chris Martenet,Alt Base,1 - Common
AB-27,Matt Berry,Alt Base,1 - Common
CL,Checklist,Checklist,1 - Common
CC-7,Chris Martenet,Canvas,2 - Uncommon
CC-8,Matt Berry,Canvas,2 - Uncommon
CC-9,Deven Sideroff,Canvas,2 - Uncommon
CC-10,Corey Neilson,Canvas,2 - Uncommon
PT-5,Mitchell Heard,Portrait,2 - Uncommon
PT-6,Chris McKay,Portrait,2 - Uncommon
PT-7,Rylan Schwartz,Portrait,2 - Uncommon
PT-8,Liam Finlay,Portrait,2 - Uncommon
PT-9,Keaton Jameson,Portrait,2 - Uncommon
PT-10,Alex Forbes,Portrait,2 - Uncommon
PS-5,Lucas Brine,Poster,2 - Uncommon
PS-6,Rob Lachowicz,Poster,2 - Uncommon
PS-7,Liam Finlay,Poster,2 - Uncommon
PS-8,Mitchell Heard,Poster,2 - Uncommon
16-1,Simon Després,Base,1 - Common
16-2,Rob Lachowicz,Base,1 - Common
16-3,Steven Seigo,Base,1 - Common
16-4,Deven Sideroff,Base,1 - Common
IB-1,Liam Finlay,Ice Breakers,3 - Rare
IB-2,Tyson McLellan,Ice Breakers,3 - Rare
IB-3,Cole Ully,Ice Breakers,3 - Rare
IB-4,Mitchell Heard,Ice Breakers,3 - Rare
FF-3,Steven Seigo,Fan Faves,2 - Uncommon
FF-4,Deven Sideroff,Fan Faves,2 - Uncommon
PM-2,Mitchell Heard,Playmaker,2 - Uncommon
SH-2,Cole Ully,Sharpshooter,2 - Uncommon
SP-3,Clangus,Spectrum,4 - Ultra Rare
SP-4,Deven Sideroff,Spectrum,4 - Ultra Rare
AS-3,Landon Bow,All Star,3 - Rare
AS-4,Cole Ully,All Star,3 - Rare
OW-2,Joseph Hazeldine,Ones To Watch,3 - Rare
OW-3,Félix Paré,Ones To Watch,3 - Rare
OW-4,Lucas Brine,Ones To Watch,3 - Rare
SS-7,Keaton Jameson,Signature Series,3 - Rare
SS-8,Tyson McLellan,Signature Series,3 - Rare
SS-9,Cade Neilson,Signature Series,3 - Rare
SS-10,Cole Ully,Signature Series,3 - Rare
SS-11,Steven Seigo,Signature Series,3 - Rare
SS-12,Darien Kielb,Signature Series,3 - Rare
EA-1,Liam Finlay,Exclusive Autos,4 - Ultra Rare
EA-2,Simon Després,Exclusive Autos,4 - Ultra Rare
EH-1,Alex Forbes,Exceptional Hits,4 - Ultra Rare
EH-2,Nick Prkusic,Exceptional Hits,4 - Ultra Rare
