CardNumber,PlayerName,Type,Rarity
B-15,Sean Norris,Base,1 - Common
B-16,Ethan Strang,Base,1 - Common
B-17,Ryan Tait,Base,1 - Common
B-18,Sam Talbot,Base,1 - Common
B-19,Daniel Tedesco,Base,1 - Common
B-20,Joshua Waller,Base,1 - Common
B-21,Brett Welychka,Base,1 - Common
B-22,Paul Dixon,Base,1 - Common
B-23,Andrew Hemmings,Base,1 - Common
B-24,Jack Jacome,Base,1 - Common
B-25,Charlie Curti,Base,1 - Common
B-26,Sam Jones,Base,1 - Common
B-27,Austin Glover,Base,1 - Common
B-28,James Shearer,Base,1 - Common
AB-15,Marcus Tesink,Alt Base,1 - Common
AB-16,Kyle Locke,Alt Base,1 - Common
AB-17,Charlie Dodero,Alt Base,1 - Common
AB-18,Michael Crocock,Alt Base,1 - Common
AB-19,Stephen Calisti,Alt Base,1 - Common
AB-20,Travis Brown,Alt Base,1 - Common
AB-21,Eamon McAdam,Alt Base,1 - Common
AB-22,Adam Long,Alt Base,1 - Common
AB-23,Jake Kupsky,Alt Base,1 - Common
AB-24,Jack Jacome,Alt Base,1 - Common
AB-25,Charlie Curti,Alt Base,1 - Common
AB-26,Sam Jones,Alt Base,1 - Common
AB-27,Austin Glover,Alt Base,1 - Common
AB-28,James Shearer,Alt Base,1 - Common
CL,Checklist,Checklist,1 - Common
CC-7,Ryan Tait,Canvas,2 - Uncommon
CC-8,Adam Long,Canvas,2 - Uncommon
CC-9,Lewis Hook,Canvas,2 - Uncommon
CC-10,Jack Jacome,Canvas,2 - Uncommon
PT-5,Joshua Waller,Portrait,2 - Uncommon
PT-6,Daniel Tedesco,Portrait,2 - Uncommon
PT-7,Eamon McAdam,Portrait,2 - Uncommon
PT-8,Sam Jones,Portrait,2 - Uncommon
PT-9,Sean Norris,Portrait,2 - Uncommon
PT-10,Daniel Catenacci,Portrait,2 - Uncommon
PS-5,Jake Kupsky,Poster,2 - Uncommon
PS-6,Lewis Hook,Poster,2 - Uncommon
PS-7,Charlie Dodero,Poster,2 - Uncommon
PS-8,Daniel Tedesco,Poster,2 - Uncommon
16-1,Brett Ferguson,Base,1 - Common
16-2,Brett Welychka,Base,1 - Common
16-3,Lewis Hook,Base,1 - Common
16-4,Travis Brown,Base,1 - Common
IB-1,Ethan Strang,Ice Breakers,3 - Rare
IB-2,Joshua Waller,Ice Breakers,3 - Rare
IB-3,Jack Jacome,Ice Breakers,3 - Rare
IB-4,Daniel Catenacci,Ice Breakers,3 - Rare
FF-3,Jack Jacome,Fan Faves,2 - Uncommon
FF-4,Ryan Tait,Fan Faves,2 - Uncommon
PM-2,Ryan Tait,Playmaker,2 - Uncommon
SH-2,Matt Alvaro,Sharpshooter,2 - Uncommon
SP-3,Stephen Calisti,Spectrum,4 - Ultra Rare
SP-4,Marcus Tesink,Spectrum,4 - Ultra Rare
AS-3,Daniel Catenacci,All Star,3 - Rare
AS-4,Ryan Tait,All Star,3 - Rare
SS-7,Ethan Strang,Signature Series,3 - Rare
SS-8,Jack Jacome,Signature Series,3 - Rare
SS-9,Charlie Dodero,Signature Series,3 - Rare
SS-10,Charlie Curti,Signature Series,3 - Rare
SS-11,Travis Brown,Signature Series,3 - Rare
SS-12,Austin Glover,Signature Series,3 - Rare
EA-1,Adam Long,Exclusive Autos,4 - Ultra Rare
EA-2,Marcus Tesink,Exclusive Autos,4 - Ultra Rare
EH-1,Austin Glover,Exceptional Hits,4 - Ultra Rare
EH-2,Charlie Curti,Exceptional Hits,4 - Ultra Rare
