"CardNumber","PlayerName","Type","Rarity"
"B-13","Josh Nixon","Base","1 - Common"
"B-14","Jake Coughler","Base","1 - Common"
"B-15","Charlie Curti","Base","1 - Common"
"B-16","Mathieu Gosselin","Base","1 - Common"
"B-17","Sean Comrie","Base","1 - Common"
"B-18","Sam Talbot","Base","1 - Common"
"B-19","Ben Solder","Base","1 - Common"
"B-20","Tyler Preziuso","Base","1 - Common"
"B-21","Taz Burman","Base","1 - Common"
"B-22","Marcus Tesink","Base","1 - Common"
"B-23","Justin Fazio","Base","1 - Common"
"B-24","Andrew Hemmings","Base","1 - Common"
"B-25","Paul Dixon","Base","1 - Common"
"B-26","Elliot Lewis","Base","1 - Common"
"B-27","Nick Seitz","Base","1 - Common"
"B-28","Zack Milton","Base","1 - Common"
"B-29","Jonathan Racine","Base","1 - Common"
"AB-13","Josh Nixon","Alt Base","1 - Common"
"AB-14","Ethan Strang","Alt Base","1 - Common"
"AB-15","Adam Long","Alt Base","1 - Common"
"AB-16","Travis Brown","Alt Base","1 - Common"
"AB-17","Tyler Busch","Alt Base","1 - Common"
"AB-18","Matt Alvaro","Alt Base","1 - Common"
"AB-19","Cole Ully","Alt Base","1 - Common"
"AB-20","Jake Kupsky","Alt Base","1 - Common"
"AB-21","Jake Gravelle","Alt Base","1 - Common"
"AB-22","Jack Jacome","Alt Base","1 - Common"
"AB-23","Jamal Watson","Alt Base","1 - Common"
"AB-24","Lewis Hook","Alt Base","1 - Common"
"AB-25","Joshua Waller","Alt Base","1 - Common"
"AB-26","Jonathan Racine","Alt Base","1 - Common"
"AB-27","Zack Milton","Alt Base","1 - Common"
"AB-28","Nick Seitz","Alt Base","1 - Common"
"AB-29","Elliot Lewis","Alt Base","1 - Common"
"GFC-5","Paul Thompson","Classics","1 - Common"
"MS-1","Rob Lachowicz","Milestones","2 - Uncommon"
"HT-5","Nick Seitz","Hometown","2 - Uncommon"
"HT-6","Joshua Waller","Hometown","2 - Uncommon"
"HT-7","Jamal Watson","Hometown","2 - Uncommon"
"PT-4","Taz Burman","Portraits","2 - Uncommon"
"PT-5","Ethan Strang","Portraits","2 - Uncommon"
"PT-6","Joshua Waller","Portraits","2 - Uncommon"
"PT-7","Travis Brown","Portraits","2 - Uncommon"
"CC-4","Tyler Busch","Canvas","2 - Uncommon"
"CC-5","Marcus Tesink","Canvas","2 - Uncommon"
"CC-6","Charlie Curti","Canvas","2 - Uncommon"
"CC-7","Jack Jacome","Canvas","2 - Uncommon"
"SH-2","Cole Ully","Sharpshooter","2 - Uncommon"
"PM-2","Jamal Watson","Playmaker","2 - Uncommon"
"BL-3","Travis Brown","Blueliner","2 - Uncommon"
"BL-4","Marcus Tesink","Blueliner","2 - Uncommon"
"GD-2","Justin Fazio","Guardian","2 - Uncommon"
"16-5","Jonathan Racine","16-Bit","2 - Uncommon"
"16-6","Adam Long","16-Bit","2 - Uncommon"
"16-7","Tyler Preziuso","16-Bit","2 - Uncommon"
"16-8","Josh Nixon","16-Bit","2 - Uncommon"
"FF-3","Jamal Watson","Fan Faves","2 - Uncommon"
"FF-4","Mathieu Gosselin","Fan Faves","2 - Uncommon"
"PS-5","Jamal Watson","Poster","2 - Uncommon"
"PS-6","Nick Seitz","Poster","2 - Uncommon"
"PS-7","Mathieu Gosselin","Poster","2 - Uncommon"
"PS-8","Jack Jacome","Poster","2 - Uncommon"
"II-1","Sam Talbot","Incredible Inks","3 - Rare"
"II-2","Jake Coughler","Incredible Inks","3 - Rare"
"II-3","Cole Ully","Incredible Inks","3 - Rare"
"II-4","Sean Comrie","Incredible Inks","3 - Rare"
"II-5","Jonathan Racine","Incredible Inks","3 - Rare"
"AS-4","Travis Brown","All Stars","3 - Rare"
"AS-5","Jonathan Racine","All Stars","3 - Rare"
"PR-4","Tyler Busch","Prism","3 - Rare"
"PR-5","Jonathan Racine","Prism","3 - Rare"
"PR-6","Travis Brown","Prism","3 - Rare"
"IB-5","Mathieu Gosselin","Ice Breaker","3 - Rare"
"IB-6","Jack Jacome","Ice Breaker","3 - Rare"
"IB-7","Matt Alvaro","Ice Breaker","3 - Rare"
"IB-8","Joshua Waller","Ice Breaker","3 - Rare"
"EC-3","Cole Ully","Editors Choice","3 - Rare"
"EC-4","Jake Coughler","Editors Choice","3 - Rare"
"LD-2","Alt Captains","Leadership","4 - Ultra Rare"
"EH-1","Jonathan Racine","Exceptional Hits","4 - Ultra Rare"
"EH-2","Jamal Watson","Exceptional Hits","4 - Ultra Rare"
"EA-1","Lewis Hook","Exclusive Autos","4 - Ultra Rare"
"EA-2","Joshua Waller","Exclusive Autos","4 - Ultra Rare"
