CardNumber,PlayerName,Type,Rarity
B-1,Pete Bradbury,Base,1 - Common
B-2,Carl Bungay,Base,1 - Common
B-3,Tony Naylor,Base,1 - Common
B-4,Anton Tomlinson,Base,1 - Common
B-5,Darren Pomfret,Base,1 - Common
B-6,Fiona Naylor,Base,1 - Common
B-7,Karl Nicholson,Base,1 - Common
B-8,Felicity Gregory,Base,1 - Common
B-9,Emily Mclean,Base,1 - Common
B-10,Daniel Hartshorn,Base,1 - Common
B-11,Mark Colquitt,Base,1 - Common
B-12,Peter Hagan,Base,1 - Common
B-13,Anthony Booth,Base,1 - Common
B-14,Dave Lawrence,Base,1 - Common
B-15,Naomi Jenks,Base,1 - Common
B-16,Peggy Assinck,Base,1 - Common
B-17,Tom Kimm,Base,1 - Common
B-18,Amy Griffiths,Base,1 - Common
B-19,Mason Hodkinson,Base,1 - Common
B-20,Dean Lahan,Base,1 - Common
B-21,Rob Allen,Base,1 - Common
B-22,Caprice Dipple,Base,1 - Common
B-23,Megan Mcevoy,Base,1 - Common
B-24,Paul Breeze,Base,1 - Common
PS-1,Hockey Is For Everyone,Special,2 - Uncommon
