CardNumber,PlayerName,Type,Rarity
B-1,Alexander Oldale,Base,1 - Common
B-2,Evan Weninger,Base,1 - Common
B-3,Noah Carroll,Base,1 - Common
B-4,Dallas Ehrhardt,Base,1 - Common
B-5,C.J. Garcia,Base,1 - Common
B-6,Chase Harrison,Base,1 - Common
B-7,Joe Morrow,Base,1 - Common
B-8,Zach Sullivan,Base,1 - Common
B-9,Cameron Critchlow,Base,1 - Common
B-10,Alexis D’Aoust,Base,1 - Common
B-11,Jake Durflinger,Base,1 - Common
B-12,Gianluca Esteves,Base,1 - Common
B-13,Owen Griffiths,Base,1 - Common
B-14,Grant Hebert,Base,1 - Common
AB-1,Mike Flanagan,Alt Base,1 - Common
AB-2,Mike Morin,Alt Base,1 - Common
AB-3,Loren Ulett,Alt Base,1 - Common
AB-4,Alex Robert,Alt Base,1 - Common
AB-5,Zack Milton,Alt Base,1 - Common
AB-6,Craig Martin,Alt Base,1 - Common
AB-7,Connor Lee,Alt Base,1 - Common
AB-8,Stephen Johnson,Alt Base,1 - Common
AB-9,Ryan Hughes,Alt Base,1 - Common
AB-10,Tyler Hinam,Alt Base,1 - Common
AB-11,Grant Hebert,Alt Base,1 - Common
AB-12,Owen Griffiths,Alt Base,1 - Common
AB-13,Gianluca Esteves,Alt Base,1 - Common
AB-14,Jake Durflinger,Alt Base,1 - Common
CL,Checklist,Checklist,1 - Common
CC-1,Evan Weninger,Canvas,2 - Uncommon
CC-2,Dallas Ehrhardt,Canvas,2 - Uncommon
CC-3,Alexis D’Aoust,Canvas,2 - Uncommon
CC-4,Owen Griffiths,Canvas,2 - Uncommon
CC-5,Loren Ulett,Canvas,2 - Uncommon
CC-6,Alex Robert,Canvas,2 - Uncommon
PT-1,Alexander Oldale,Portrait,2 - Uncommon
PT-2,C.J. Garcia,Portrait,2 - Uncommon
PT-3,Tyler Hinam,Portrait,2 - Uncommon
PT-4,Stephen Johnson,Portrait,2 - Uncommon
PS-1,Evan Weninger,Poster,2 - Uncommon
PS-2,Jake Durflinger,Poster,2 - Uncommon
PS-3,Alexis D’Aoust,Poster,2 - Uncommon
PS-4,Zack Milton,Poster,2 - Uncommon
FF-1,Tyler Hinam,Fan Faves,2 - Uncommon
FF-2,Cameron Critchlow,Fan Faves,2 - Uncommon
PM-1,Joe Morrow,Playmaker,2 - Uncommon
SH-1,Jake Durflinger,Sharpshooter,2 - Uncommon
SP-1,Zack Milton,Spectrum,4 - Ultra Rare
SP-2,Dallas Ehrhardt,Spectrum,4 - Ultra Rare
AS-1,Joe Morrow,All Star,3 - Rare
AS-2,Cameron Critchlow,All Star,3 - Rare
OW-1,Alexander Oldale,Ones To Watch,3 - Rare
OW-2,Zack Milton,Ones To Watch,3 - Rare
SS-1,Evan Weninger,Signature Series,3 - Rare
SS-2,Dallas Ehrhardt,Signature Series,3 - Rare
SS-3,C.J. Garcia,Signature Series,3 - Rare
SS-4,Alexis D’Aoust,Signature Series,3 - Rare
SS-5,Ryan Hughes,Signature Series,3 - Rare
SS-6,Zack Milton,Signature Series,3 - Rare
LD-1,Critchlow Harrison Johnson,Leadership,4 - Ultra Rare
DD-1,Carroll Durflinger,Dynamic Duos,4 - Ultra Rare
EA-1,Loren Ulett,Exclusive Autos,4 - Ultra Rare
EA-2,Zach Sullivan,Exclusive Autos,4 - Ultra Rare
EH-1,Connor Lee,Exceptional Hits,4 - Ultra Rare
EH-2,Grant Hebert,Exceptional Hits,4 - Ultra Rare
