CardNumber,PlayerName,Type,Rarity
B-15,Tyler Hinam,Base,1 - Common
B-16,Ryan Hughes,Base,1 - Common
B-17,Stephen Johnson,Base,1 - Common
B-18,Connor Lee,Base,1 - Common
B-19,Craig Martin,Base,1 - Common
B-20,Zack Milton,Base,1 - Common
B-21,Alex Robert,Base,1 - Common
B-22,Loren Ulett,Base,1 - Common
B-23,Mike Flanagan,Base,1 - Common
B-24,Mike Morin,Base,1 - Common
B-25,Tyler Rockwell,Base,1 - Common
B-26,David Tendeck,Base,1 - Common
B-27,Harrison Caines,Base,1 - Common
AB-15,Alexis D’Aoust,Alt Base,1 - Common
AB-16,Cameron Critchlow,Alt Base,1 - Common
AB-17,Zach Sullivan,Alt Base,1 - Common
AB-18,Joe Morrow,Alt Base,1 - Common
AB-19,Chase Harrison,Alt Base,1 - Common
AB-20,C.J. Garcia,Alt Base,1 - Common
AB-21,Dallas Ehrhardt,Alt Base,1 - Common
AB-22,Noah Carroll,Alt Base,1 - Common
AB-23,Evan Weninger,Alt Base,1 - Common
AB-24,Alexander Oldale,Alt Base,1 - Common
AB-25,Tyler Rockwell,Alt Base,1 - Common
AB-26,David Tendeck,Alt Base,1 - Common
AB-27,Harrison Caines,Alt Base,1 - Common
CL,Checklist,Checklist,1 - Common
CC-7,David Tendeck,Canvas,2 - Uncommon
CC-8,Harrison Caines,Canvas,2 - Uncommon
CC-9,Connor Lee,Canvas,2 - Uncommon
CC-10,Jake Durflinger,Canvas,2 - Uncommon
PT-5,Gianluca Esteves,Portrait,2 - Uncommon
PT-6,Owen Griffiths,Portrait,2 - Uncommon
PT-7,Loren Ulett,Portrait,2 - Uncommon
PT-8,Alex Robert,Portrait,2 - Uncommon
PT-9,Tyler Rockwell,Portrait,2 - Uncommon
PT-10,Craig Martin,Portrait,2 - Uncommon
PS-5,David Tendeck,Poster,2 - Uncommon
PS-6,Cameron Critchlow,Poster,2 - Uncommon
PS-7,Dallas Ehrhardt,Poster,2 - Uncommon
PS-8,Stephen Johnson,Poster,2 - Uncommon
16-1,Cameron Critchlow,Base,1 - Common
16-2,Zach Sullivan,Base,1 - Common
16-3,Dallas Ehrhardt,Base,1 - Common
16-4,Joe Morrow,Base,1 - Common
IB-1,Craig Martin,Ice Breakers,3 - Rare
IB-2,Alexis D’Aoust,Ice Breakers,3 - Rare
IB-3,Grant Hebert,Ice Breakers,3 - Rare
IB-4,Ryan Hughes,Ice Breakers,3 - Rare
FF-3,Alexander Oldale,Fan Faves,2 - Uncommon
FF-4,Zach Sullivan,Fan Faves,2 - Uncommon
PM-2,Ryan Hughes,Playmaker,2 - Uncommon
SH-2,Alexis D’Aoust,Sharpshooter,2 - Uncommon
SP-3,Lightning Jack,Spectrum,4 - Ultra Rare
SP-4,Cameron Critchlow,Spectrum,4 - Ultra Rare
AS-3,Alexis D’Aoust,All Star,3 - Rare
AS-4,Evan Weninger,All Star,3 - Rare
OW-3,Connor Lee,Ones To Watch,3 - Rare
SS-7,Tyler Hinam,Signature Series,3 - Rare
SS-8,Alexander Oldale,Signature Series,3 - Rare
SS-9,Stephen Johnson,Signature Series,3 - Rare
SS-10,Noah Carroll,Signature Series,3 - Rare
SS-11,Chase Harrison,Signature Series,3 - Rare
SS-12,Cameron Critchlow,Signature Series,3 - Rare
EA-1,C.J. Garcia,Exclusive Autos,4 - Ultra Rare
EA-2,David Tendeck,Exclusive Autos,4 - Ultra Rare
EA-3,Harrison Caines,Exclusive Autos,4 - Ultra Rare
EH-1,Alex Robert,Exceptional Hits,4 - Ultra Rare
EH-2,Zach Sullivan,Exceptional Hits,4 - Ultra Rare
