"CardNumber","PlayerName","Type","Rarity"
"B-1","Bradley Jenion","Base","1 - Common"
"B-2","Evan Weninger","Base","1 - Common"
"B-3","Kyle Locke","Base","1 - Common"
"B-4","Loren Ulett","Base","1 - Common"
"B-5","Rais Francis","Base","1 - Common"
"B-6","Tyler Hinam","Base","1 - Common"
"B-7","Chase Harrison","Base","1 - Common"
"B-8","Gary Haden","Base","1 - Common"
"B-9","Kaleb Ergang","Base","1 - Common"
"B-10","Dennis Busby","Base","1 - Common"
"B-11","Stephen Johnson","Base","1 - Common"
"B-12","Noah Kääriäinen","Base","1 - Common"
"AB-1","Cam Critchlow","Alt Base","1 - Common"
"AB-2","Mike Morin","Alt Base","1 - Common"
"AB-3","Dallas Ehrhardt","Alt Base","1 - Common"
"AB-4","Zach Sullivan","Alt Base","1 - Common"
"AB-5","Harrison Caines","Alt Base","1 - Common"
"AB-6","Theo Malone","Alt Base","1 - Common"
"AB-7","Brendon Clavelle","Alt Base","1 - Common"
"AB-8","Drew DeRidder","Alt Base","1 - Common"
"AB-9","Joseph Nardi","Alt Base","1 - Common"
"AB-10","Nicholas Welsh","Alt Base","1 - Common"
"AB-11","Brandon Cutler","Alt Base","1 - Common"
"AB-12","Tyler de la Bertouche","Alt Base","1 - Common"
"MC-1","Lightning Jack","Mascot","1 - Common"
"MSC-1","Colin Downie","Classics","1 - Common"
"MSC-2","John Lawless","Classics","1 - Common"
"MSC-3","Mike Morin","Classics","1 - Common"
"MSC-4","Shawn Byram","Classics","1 - Common"
"HT-1","Chase Harrison","Hometown","2 - Uncommon"
"HT-2","Josh Crawley","Hometown","2 - Uncommon"
"HT-3","Joseph Nardi","Hometown","2 - Uncommon"
"HT-4","Nicholas Welsh","Hometown","2 - Uncommon"
"PT-1","Harrison Caines","Portraits","2 - Uncommon"
"PT-2","Loren Ulett","Portraits","2 - Uncommon"
"PT-3","Kyle Locke","Portraits","2 - Uncommon"
"CC-1","Stephen Johnson","Canvas","2 - Uncommon"
"CC-2","Bradley Jenion","Canvas","2 - Uncommon"
"CC-3","Kaleb Ergang","Canvas","2 - Uncommon"
"SH-1","Gary Haden","Sharpshooter","2 - Uncommon"
"PM-1","Loren Ulett","Playmaker","2 - Uncommon"
"BL-1","Nicholas Welsh","Blueliner","2 - Uncommon"
"BL-2","Kyle Locke","Blueliner","2 - Uncommon"
"GD-1","Evan Weninger","Guardian","2 - Uncommon"
"16-1","Zach Sullivan","16-Bit","2 - Uncommon"
"16-2","Tyler Hinam","16-Bit","2 - Uncommon"
"16-3","Brendon Clavelle","16-Bit","2 - Uncommon"
"16-4","Brandon Cutler","16-Bit","2 - Uncommon"
"FF-1","Gary Haden","Fan Faves","2 - Uncommon"
"FF-2","Evan Weninger","Fan Faves","2 - Uncommon"
"PS-1","Tyler Hinam","Poster","2 - Uncommon"
"PS-2","Kyle Locke","Poster","2 - Uncommon"
"PS-3","Evan Weninger","Poster","2 - Uncommon"
"PS-4","Loren Ulett","Poster","2 - Uncommon"
"SS-1","Dennis Busby","Signature Series","3 - Rare"
"SS-2","Rais Francis","Signature Series","3 - Rare"
"SS-3","Joseph Nardi","Signature Series","3 - Rare"
"SS-4","Kaleb Ergang","Signature Series","3 - Rare"
"SS-5","Brady Gilmour","Signature Series","3 - Rare"
"SS-6","Josh Crawley","Signature Series","3 - Rare"
"OW-1","Theo Malone","Ones to Watch","3 - Rare"
"OW-2","Rais Francis","Ones to Watch","3 - Rare"
"OW-3","Jace Gledhill","Ones to Watch","3 - Rare"
"AS-1","Brandon Cutler","All Star","3 - Rare"
"AS-2","Stephen Johnson","All Star","3 - Rare"
"AS-3","Evan Weninger","All Star","3 - Rare"
"PR-1","Kyle Locke","Prism","3 - Rare"
"PR-2","Harrison Caines","Prism","3 - Rare"
"PR-3","Chase Harrison","Prism","3 - Rare"
"IB-1","Evan Weninger","Ice Breaker","3 - Rare"
"IB-2","Loren Ulett","Ice Breaker","3 - Rare"
"IB-3","Gary Haden","Ice Breaker","3 - Rare"
"IB-4","Brandon Cutler","Ice Breaker","3 - Rare"
"EC-1","Gary Haden","Editors Choice","3 - Rare"
"EC-2","Nicholas Welsh","Editors Choice","3 - Rare"
"EH-1","Joseph Nardi","Exceptional Hits","4 - Ultra Rare"
"EH-2","Rais Francis","Exceptional Hits","4 - Ultra Rare"
"EH-3","Drew DeRidder","Exceptional Hits","4 - Ultra Rare"
"EA-1","Brendon Clavelle","Exclusive Autos","4 - Ultra Rare"
"EA-2","Noah Kääriäinen","Exclusive Autos","4 - Ultra Rare"
"EA-3","Drew DeRidder","Exclusive Autos","4 - Ultra Rare"
"DD-1","Haden Hinam","Dynamic Duo","4 - Ultra Rare"
"LD-1","Leadership","Leadership","4 - Ultra Rare"
