"CardNumber","PlayerName","Type","Rarity"
"B-13","Bryan Lemos","Base","1 - Common"
"B-14","David Noël","Base","1 - Common"
"B-15","Jarod Hilderman","Base","1 - Common"
"B-16","Kevin Carr","Base","1 - Common"
"B-17","Milique Martelly","Base","1 - Common"
"B-18","Alex Rushby","Base","1 - Common"
"B-19","Matt Marcinew","Base","1 - Common"
"B-20","Brendan Harris","Base","1 - Common"
"B-21","Nolan Volcan","Base","1 - Common"
"B-22","Danny Stewart","Base","1 - Common"
"B-23","Linton Grant","Base","1 - Common"
"B-24","Matt Alfaro","Base","1 - Common"
"B-25","Jakob Stridsberg","Base","1 - Common"
"B-26","Johnny Curran","Base","1 - Common"
"AB-13","Didrik Henbrant","Alt Base","1 - Common"
"AB-14","Chase Pearson","Alt Base","1 - Common"
"AB-15","Mitch Fossier","Alt Base","1 - Common"
"AB-16","Tim Doherty","Alt Base","1 - Common"
"AB-17","Matt Spencer","Alt Base","1 - Common"
"AB-18","Josh Tetlow","Alt Base","1 - Common"
"AB-19","Ollie Betteridge","Alt Base","1 - Common"
"AB-20","Jordan Kelsall","Alt Base","1 - Common"
"AB-21","Zsombor Garát","Alt Base","1 - Common"
"AB-22","Jason Grande","Alt Base","1 - Common"
"AB-23","Cooper Zech","Alt Base","1 - Common"
"AB-24","Johnny Curran","Alt Base","1 - Common"
"AB-25","Jakob Stridsberg","Alt Base","1 - Common"
"AB-26","Matt Alfaro","Alt Base","1 - Common"
"BM-6","Team Above","Moments","1 - Common"
"BM-7","Team Photo","Moments","1 - Common"
"BM-8","Champagne Celebration","Moments","1 - Common"
"BM-9","Zsombor Garát","Moments","1 - Common"
"BM-10","Danny Stewart","Moments","1 - Common"
"MS-1","Jordan Kelsall","Milestone","1 - Common"
"MS-2","Rob Lachowicz","Milestone","1 - Common"
"MC-1","Paws","Mascot","1 - Common"
"HT-6","Johnny Curran","Hometown","2 - Uncommon"
"HT-7","Nolan Volcan","Hometown","2 - Uncommon"
"HT-8","Matt Alfaro","Hometown","2 - Uncommon"
"HT-9","Jordan Kelsall","Hometown","2 - Uncommon"
"HT-10","Luca Sheldon","Hometown","2 - Uncommon"
"PT-4","Brendan Harris","Portraits","2 - Uncommon"
"PT-5","Didrik Henbrant","Portraits","2 - Uncommon"
"PT-6","Tim Doherty","Portraits","2 - Uncommon"
"CC-4","Zsombor Garát","Canvas","2 - Uncommon"
"CC-5","Jason Grande","Canvas","2 - Uncommon"
"CC-6","Chase Pearson","Canvas","2 - Uncommon"
"SH-3","Ross Armour","Sharpshooter","2 - Uncommon"
"SH-4","Chase Pearson","Sharpshooter","2 - Uncommon"
"PM-3","Matt Alfaro","Playmaker","2 - Uncommon"
"PM-4","Tim Doherty","Playmaker","2 - Uncommon"
"BL-3","Zsombor Garát","Blueliner","2 - Uncommon"
"BL-4","David Noël","Blueliner","2 - Uncommon"
"16-5","Jakob Stridsberg","16-Bit","2 - Uncommon"
"16-6","Josh Tetlow","16-Bit","2 - Uncommon"
"16-7","Bryan Lemos","16-Bit","2 - Uncommon"
"16-8","Cooper Zech","16-Bit","2 - Uncommon"
"FF-3","Didrik Henbrant","Fan Faves","2 - Uncommon"
"FF-4","Brendan Harris","Fan Faves","2 - Uncommon"
"GD-2","Kevin Carr","Guardian","2 - Uncommon"
"PS-5","Matt Spencer","Poster","2 - Uncommon"
"PS-6","Jason Grande","Poster","2 - Uncommon"
"PS-7","Johnny Curran","Poster","2 - Uncommon"
"PS-8","Mitch Fossier","Poster","2 - Uncommon"
"II-1","Matt Alfaro","Incredible Inks","3 - Rare"
"II-2","Kevin Carr","Incredible Inks","3 - Rare"
"II-3","Brendan Harris","Incredible Inks","3 - Rare"
"II-4","Tim Doherty","Incredible Inks","3 - Rare"
"II-5","Didrik Henbrant","Incredible Inks","3 - Rare"
"II-6","Chase Pearson","Incredible Inks","3 - Rare"
"AS-3","Matt Alfaro","All Star","3 - Rare"
"AS-4","Mitch Fossier","All Star","3 - Rare"
"PR-4","Finlay Ulrick","Prism","3 - Rare"
"PR-5","Johnny Curran","Prism","3 - Rare"
"PR-6","Cooper Zech","Prism","3 - Rare"
"IB-5","Ross Armour","Ice Breaker","3 - Rare"
"IB-6","Matt Marcinew","Ice Breaker","3 - Rare"
"IB-7","Matt Alfaro","Ice Breaker","3 - Rare"
"IB-8","Brendan Harris","Ice Breaker","3 - Rare"
"EC-3","Jason Grande","Editors Choice","3 - Rare"
"EC-4","Tim Doherty","Editors Choice","3 - Rare"
"EH-5","Bryan Lemos","Exceptional Hits","4 - Ultra Rare"
"EH-6","Ollie Betteridge","Exceptional Hits","4 - Ultra Rare"
"EH-7","Matt Marcinew","Exceptional Hits","4 - Ultra Rare"
"EA-3","Mitch Fossier","Exclusive Autos","4 - Ultra Rare"
"EA-4","Jakob Stridsberg","Exclusive Autos","4 - Ultra Rare"
"EA-5","Johnny Curran","Exclusive Autos","4 - Ultra Rare"
