CardNumber,PlayerName,Type,Rarity
B-1,Isaac Buckley-Ricketts,Base,1 - Common
B-2,Sean Williams,Base,1 - Common
B-3,Tom Hannigan,Base,1 - Common
B-4,Connor Woods,Base,1 - Common
B-5,Matthew Grivosti,Base,1 - Common
B-6,Daniel Atherton,Base,1 - Common
B-7,Peter Clarke,Base,1 - Common
B-8,Declan Walker,Base,1 - Common
B-9,Andy White,Base,1 - Common
B-10,Andre Wisdom,Base,1 - Common
B-11,Josh Amis,Base,1 - Common
B-12,Mitch Duggan,Base,1 - Common
B-13,Bohan Dixon,Base,1 - Common
B-14,Matthew McDonald,Base,1 - Common
B-15,Evan Gumbs,Base,1 - Common
B-16,Jay Harris,Base,1 - Common
B-17,Aaron Bennett,Base,1 - Common
B-18,Kacper Pasiek,Base,1 - Common
B-19,Sam Gill,Base,1 - Common
B-20,Jordan Buckley,Base,1 - Common
B-21,Dylan Mottley-Henry,Base,1 - Common
B-22,Dubem Eze,Base,1 - Common
B-23,Tony Thompson,Base,1 - Common
B-24,George Goudie,Base,1 - Common
B-25,Joe Rodwell-Grant,Base,1 - Common
B-26,Ollie Southern,Base,1 - Common
B-27,Adam Brooks,Base,1 - Common
B-28,Gez Sithole,Base,1 - Common
B-29,Murphy Bennett,Base,1 - Common
B-30,Mark Beesley,Base,1 - Common
B-31,David Raven,Base,1 - Common
B-32,Mark Canning,Base,1 - Common
CL,Checklist,Checklist,1 - Common
HH-1,Declan Walker,Hometown Heroes,2 - Uncommon
PH-1,Isaac Buckley-Ricketts,Promotion Heroes,2 - Uncommon
PH-2,Luke Duffy,Promotion Heroes,2 - Uncommon
PH-3,Stefan Mols,Promotion Heroes,2 - Uncommon
PH-4,Josh Seary,Promotion Heroes,2 - Uncommon
PM-1,Ben Garrity,Pyramid,2 - Uncommon
OW-1,Adam Brooks,Ones To Watch,2 - Uncommon
OW-2,Sam Gill,Ones To Watch,2 - Uncommon
OW-3,Vini Desouza,Ones To Watch,2 - Uncommon
AS-1,Daniel Atherton,All Star,2 - Uncommon
AS-2,Isaac Buckley-Ricketts,All Star,2 - Uncommon
AS-3,Connor Woods,All Star,2 - Uncommon
SS-1,Daniel Atherton,Signature Series,3 - Rare
SS-2,Peter Clarke,Signature Series,3 - Rare
SS-3,Josh Amis,Signature Series,3 - Rare
SS-4,Declan Walker,Signature Series,3 - Rare
SS-5,Matthew McDonald,Signature Series,3 - Rare
SS-6,Matthew Grivosti,Signature Series,3 - Rare
LG-1,Craig Robinson,Legend,4 - Ultra
LG-2,Ciaran Kilheeney,Legend,4 - Ultra
